id,country,state,city,station,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
687,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",OZONE,3,48,8
688,India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",PM2.5,42,127,79
690,India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",NO2,8,22,14
696,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",PM10,117,169,144
710,India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",PM10,56,135,84
713,India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",PM2.5,51,145,77
726,India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",PM10,70,126,98
729,India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",SO2,6,22,10
730,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",PM2.5,34,36,35
732,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",NO2,16,18,17
734,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",SO2,10,12,11
736,India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",PM2.5,22,30,29
737,India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",PM10,39,57,55
749,India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",PM10,75,158,99
754,India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",OZONE,33,43,34
768,India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",PM10,50,107,75
771,India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",SO2,5,6,6
776,India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",NO2,NA,NA,NA
778,India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",PM2.5,48,197,81
781,India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",SO2,37,39,38
782,India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",CO,101,111,106
793,India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",NO2,2,20,12
795,India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",SO2,1,7,4
799,India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",PM10,105,137,121
800,India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",NO2,33,40,36
801,India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",NH3,15,18,16
802,India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",SO2,7,9,8
804,India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",OZONE,16,25,20
805,India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",PM2.5,23,84,53
811,India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",OZONE,3,11,4
815,India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",NH3,5,8,7
817,India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",CO,49,70,66
826,India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",PM2.5,33,80,55
827,India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",PM10,111,173,139
832,India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",OZONE,21,37,27
839,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",OZONE,6,46,11
842,India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",NO2,30,32,31
843,India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",NH3,6,6,6
846,India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",OZONE,2,7,3
854,India,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",PM2.5,45,82,61
861,India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",NO2,28,31,30
866,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",PM10,11,152,84
874,India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",SO2,2,3,3
880,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",NH3,3,7,4
881,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",SO2,2,5,4
884,India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",PM2.5,43,323,89
887,India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",CO,38,90,49
889,India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",PM2.5,13,65,28
890,India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",PM10,121,141,131
892,India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",NH3,10,12,11
893,India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",SO2,1,22,10
896,India,Haryana,Jind,"Police Lines, Jind - HSPCB",PM2.5,22,50,31
899,India,Haryana,Jind,"Police Lines, Jind - HSPCB",NH3,6,9,8
901,India,Haryana,Jind,"Police Lines, Jind - HSPCB",CO,50,88,66
907,India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",SO2,2,79,9
908,India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",CO,14,36,18
911,India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",PM10,79,130,98
913,India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",NH3,10,13,11
914,India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",SO2,77,82,80
922,India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",CO,20,105,22
923,India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",OZONE,11,82,14
927,India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",NH3,20,24,22
928,India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",SO2,24,29,26
929,India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",CO,10,12,10
935,India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",SO2,8,19,13
942,India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",SO2,8,65,11
955,India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",CO,2,120,8
957,India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",PM2.5,114,152,134
