country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-05-2024 17:00,16.5150833,80.5181667,NH3,2,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-05-2024 17:00,16.5150833,80.5181667,OZONE,1,18,10
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",18-05-2024 17:00,14.675886,77.593027,CO,26,49,42
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",18-05-2024 17:00,14.675886,77.593027,OZONE,1,24,16
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",18-05-2024 17:00,13.20488,79.097889,NO2,2,10,6
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-05-2024 17:00,14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-05-2024 17:00,14.465052,78.824187,PM10,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-05-2024 17:00,14.465052,78.824187,SO2,2,2,2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-05-2024 17:00,16.9872867,81.7363176,CO,22,51,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",18-05-2024 17:00,13.615387,79.40923,NH3,2,3,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",18-05-2024 17:00,13.615387,79.40923,CO,10,16,12
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",18-05-2024 17:00,16.536107,80.594233,CO,30,38,37
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",18-05-2024 17:00,16.536107,80.594233,OZONE,7,87,33
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",18-05-2024 17:00,16.486692,80.699436,PM2.5,41,53,47
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",18-05-2024 17:00,16.486692,80.699436,OZONE,29,29,29
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",18-05-2024 17:00,16.509717,80.612222,SO2,6,10,7
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",18-05-2024 17:00,16.554731,80.64911,NH3,2,3,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",18-05-2024 17:00,16.554731,80.64911,SO2,12,23,15
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-05-2024 17:00,17.72,83.3,PM2.5,5,42,19
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-05-2024 17:00,17.72,83.3,PM10,19,77,45
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-05-2024 17:00,17.72,83.3,NH3,2,4,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",18-05-2024 17:00,27.103358,93.679645,CO,12,13,12
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-05-2024 17:00,26.071318,91.87488,NH3,19,27,22
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-05-2024 17:00,26.071318,91.87488,SO2,9,41,15
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-05-2024 17:00,26.2028636,91.70046436,PM2.5,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-05-2024 17:00,26.10887,91.589544,NO2,10,41,17
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-05-2024 17:00,26.10887,91.589544,CO,50,70,57
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-05-2024 17:00,26.10887,91.589544,OZONE,8,69,41
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-05-2024 17:00,26.1875,91.744194,NO2,1,5,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",18-05-2024 17:00,26.181742,91.78063,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-05-2024 17:00,26.349082,92.68449,PM2.5,55,150,73
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-05-2024 17:00,26.349082,92.68449,PM10,62,117,76
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-05-2024 17:00,26.349082,92.68449,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-05-2024 17:00,26.349082,92.68449,CO,42,78,68
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-05-2024 17:00,26.349082,92.68449,OZONE,1,81,53
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-05-2024 17:00,26.146529,87.454184,OZONE,6,10,8
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",18-05-2024 17:00,25.5626095,84.663264,CO,8,30,18
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",18-05-2024 17:00,24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",18-05-2024 17:00,24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",18-05-2024 17:00,26.80365,84.51954,OZONE,1,25,12
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",18-05-2024 17:00,25.251013,86.989001,PM2.5,92,312,189
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",18-05-2024 17:00,25.251013,86.989001,NO2,46,83,60
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",18-05-2024 17:00,25.251013,86.989001,SO2,9,105,56
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",18-05-2024 17:00,25.251013,86.989001,OZONE,45,60,48
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",18-05-2024 17:00,24.792403,84.992416,OZONE,8,34,18
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",18-05-2024 17:00,24.762518,84.982348,NO2,17,68,38
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",18-05-2024 17:00,24.762518,84.982348,NH3,3,7,5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",18-05-2024 17:00,25.697189,85.2459,PM10,164,366,268
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",18-05-2024 17:00,25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",18-05-2024 17:00,25.560083,87.553265,SO2,9,15,11
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-05-2024 17:00,26.0881305,87.93840336,NH3,9,10,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-05-2024 17:00,26.0881305,87.93840336,CO,12,28,14
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",18-05-2024 17:00,27.308328,84.531742,SO2,3,4,4
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",18-05-2024 17:00,27.308328,84.531742,CO,46,57,52
India,Bihar,Munger,"Town Hall, Munger - BSPCB",18-05-2024 17:00,25.376776,86.471523,PM10,134,158,149
India,Bihar,Munger,"Town Hall, Munger - BSPCB",18-05-2024 17:00,25.376776,86.471523,NH3,2,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",18-05-2024 17:00,25.376776,86.471523,CO,4,90,79
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",18-05-2024 17:00,26.11442,85.39813,CO,24,75,33
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",18-05-2024 17:00,26.11442,85.39813,OZONE,30,79,70
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",18-05-2024 17:00,26.1403345,85.3650192,PM10,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-05-2024 17:00,26.1209,85.3647,PM2.5,82,279,176
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-05-2024 17:00,25.586562,85.043586,PM2.5,154,315,272
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-05-2024 17:00,25.586562,85.043586,NO2,14,94,38
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-05-2024 17:00,25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-05-2024 17:00,25.610369,85.132568,NO2,10,11,11
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-05-2024 17:00,25.610369,85.132568,CO,10,21,13
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-05-2024 17:00,25.610369,85.132568,OZONE,44,45,44
India,Bihar,Patna,"Muradpur, Patna - BSPCB",18-05-2024 17:00,25.619651,85.147382,PM2.5,324,427,355
India,Bihar,Patna,"Muradpur, Patna - BSPCB",18-05-2024 17:00,25.619651,85.147382,SO2,6,13,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",18-05-2024 17:00,25.599486,85.113666,SO2,3,21,9
India,Bihar,Patna,"Samanpura, Patna - BSPCB",18-05-2024 17:00,25.596727,85.085624,PM10,160,500,313
India,Bihar,Patna,"Samanpura, Patna - BSPCB",18-05-2024 17:00,25.596727,85.085624,CO,14,139,20
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",18-05-2024 17:00,25.366336,87.117468,NH3,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",18-05-2024 17:00,25.0328,85.41948,PM10,31,142,67
