"bill_depth","bill_length","wing_length","location","mass","sex","ID"
14.3,48.2,210,"loc_2",4600,"0",284
14.4,48.4,203,"loc_2",4625,"0",101
18.4,NA,200,"loc_3",3400,"0",400
14.9821138211382,47.5048780487805,NA,NA,4800,"0",98
18.9821138211382,38.2593070487805,217.186991869919,"loc_3",5200,"0",103
15,49.6,216,"loc_2",4750,"1",326
18.2,NA,197,"loc_3",3750,"1",79
14.8,45.2,212,"loc_2",5200,"0",270
18.9821138211382,38.2593070487805,NA,"loc_1",5400,"0",382
18.5,NA,199,"loc_3",4475,"1",184
18.9821138211382,38.2593070487805,NA,NA,4600,NA,4
16.7,38.7913907284768,178,"loc_3",3250,"0",212
20.3,55.5123355294118,194,"loc_2",3775,NA,195
15.8,46.3,215,"loc_2",5050,"1",511
19,NA,199,"loc_1",4000,"1",479
16.9,NA,NA,"loc_3",3000,"0",510
21.5,NA,NA,"loc_1",4200,"1",424
18.9,NA,NA,"loc_1",4150,"1",379
15.7,44.5,217,"loc_2",4875,"NA",108
17.8,46.4,191,"loc_3",3700,"0",131
17.9,50.9,196,"loc_3",3675,"0",343
15.5,47.2,215,"loc_2",4975,"0",41
21.2,NA,NA,"loc_1",3800,"1",298
17.9,NA,192,"loc_2",3725,"0",258
14.9821138211382,47.5048780487805,NA,"loc_3",4450,"1",538
18.1,NA,NA,"loc_2",3950,"1",182
19.4,48.8338235294118,194,"loc_1",3525,"1",305
18.9821138211382,38.2593070487805,NA,"loc_1",6000,"1",358
18.9821138211382,47.5048780487805,NA,"loc_3",5100,NA,307
14.9821138211382,38.2593070487805,NA,NA,4650,NA,518
15.1,48.1,209,"loc_2",5500,"1",221
19.5,NA,NA,"loc_3",3800,"1",313
18.8,51,203,"loc_3",4100,"1",136
14.9821138211382,47.5048780487805,NA,"loc_3",5550,"1",282
15.2,49.2,221,"loc_2",6300,"1",145
16.6,46.9,192,"loc_3",2700,"0",447
16.8,NA,192,"loc_3",3000,"0",123
21.1,38.7913907284768,195,"loc_2",4400,"1",264
18.1,NA,NA,"loc_3",4450,"1",234
13.5,42,210,"loc_2",4150,"0",96
