Match,TeamInnings,BattingPosition,BatsmenName,RunsScored,BallsFaced,4s,6s,StrikeRate,NotOut,MatchID
England vs New Zealand,England,1,Jonny Bairstow,33,35,4,1,94.28 ,0,ODI # 4658
England vs New Zealand,England,2,Dawid Malan,14,24,2,0,58.33 ,0,ODI # 4658
England vs New Zealand,England,3,Joe Root,77,86,4,1,89.53 ,0,ODI # 4658
England vs New Zealand,England,4,Harry Brook,25,16,4,1,156.25 ,0,ODI # 4658
England vs New Zealand,England,5,Moeen Ali,11,17,1,0,64.70 ,0,ODI # 4658
England vs New Zealand,England,6,Jos Buttler,43,42,2,2,102.38 ,0,ODI # 4658
England vs New Zealand,England,7,Liam Livingstone,20,22,3,0,90.90 ,0,ODI # 4658
England vs New Zealand,England,8,Sam Curran,14,19,0,0,73.68 ,0,ODI # 4658
England vs New Zealand,England,9,Chris Woakes,11,12,1,0,91.66 ,0,ODI # 4658
England vs New Zealand,England,10,Adil Rashid,15,13,0,1,115.38 ,1,ODI # 4658
England vs New Zealand,England,11,Mark Wood,13,14,0,0,92.85 ,1,ODI # 4658
England vs New Zealand,New Zealand,1,Devon Conway,152,121,19,3,125.61 ,1,ODI # 4658
England vs New Zealand,New Zealand,2,Will Young,0,1,0,0,0.00 ,0,ODI # 4658
England vs New Zealand,New Zealand,3,Rachin Ravindra,123,96,11,5,128.12 ,1,ODI # 4658
Pakistan vs Netherlands,Pakistan,1,Fakhar Zaman,12,15,3,0,80.00 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,2,ImamNaNulNaNHaq,15,19,2,0,78.94 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,3,Babar Azam,5,18,0,0,27.77 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,4,Mohammad Rizwan,68,75,8,0,90.66 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,5,Saud Shakeel,68,52,9,1,130.76 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,6,Iftikhar Ahmed,9,11,1,0,81.81 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,7,Mohammad Nawaz,39,43,4,0,90.69 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,8,Shadab Khan,32,34,2,1,94.11 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,9,Hasan Ali,0,1,0,0,0.00 ,0,ODI # 4659
Pakistan vs Netherlands,Pakistan,10,Shaheen Shah Afridi,13,12,2,0,108.33 ,1,ODI # 4659
Pakistan vs Netherlands,Pakistan,11,Haris Rauf,16,14,2,1,114.28 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,1,Vikramjit Singh,52,67,4,1,77.61 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,2,Max O'Dowd,5,12,1,0,41.66 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,3,Colin Ackermann,17,21,3,0,80.95 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,4,Bas de Leede,67,68,6,2,98.52 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,5,Teja Nidamanuru,5,9,1,0,55.55 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,6,Scott Edwards,0,2,0,0,0.00 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,7,Saqib Zulfiqar,10,18,1,0,55.55 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,8,Roelof van der Merwe,4,7,0,0,57.14 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,9,Logan van Beek,28,28,3,1,100.00 ,1,ODI # 4659
Pakistan vs Netherlands,Netherlands,10,Aryan Dutt,1,2,0,0,50.00 ,0,ODI # 4659
Pakistan vs Netherlands,Netherlands,11,Paul van Meekeren,7,12,1,0,58.33 ,0,ODI # 4659
Afghanistan vs Bangladesh,Afghanistan,1,Rahmanullah Gurbaz,47,62,4,1,75.80 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,2,Ibrahim Zadran,22,25,3,1,88.00 ,0,ODI # 4660
