# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590101
# River:                 CHIKUGO GAWA
# Station:               ARASE
# Country:               JP
# Latitude (DD):       33.343333
# Longitude (DD):      130.835
# Catchment area (km²):      1443.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2590100
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993-01 - 2003-12
# No. of years:          12
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4017
# DATA
YYYY-MM-DD;hh:mm; Value
1993-01-01;--:--;     33.890
1993-01-02;--:--;     32.590
1993-01-03;--:--;     31.410
1993-01-04;--:--;     31.990
1993-01-05;--:--;     32.800
1993-01-06;--:--;     32.920
1993-01-07;--:--;     31.520
1993-01-08;--:--;     31.860
1993-01-09;--:--;     33.880
1993-01-10;--:--;     32.810
1993-01-11;--:--;     39.490
1993-01-12;--:--;     32.520
1993-01-13;--:--;     31.870
1993-01-14;--:--;     39.350
1993-01-15;--:--;     38.830
1993-01-16;--:--;     33.560
1993-01-17;--:--;     32.940
1993-01-18;--:--;     32.830
1993-01-19;--:--;     31.870
1993-01-20;--:--;     29.370
1993-01-21;--:--;     33.680
1993-01-22;--:--;     33.190
1993-01-23;--:--;     31.620
1993-01-24;--:--;     32.630
1993-01-25;--:--;     33.530
1993-01-26;--:--;     34.300
1993-01-27;--:--;     33.310
1993-01-28;--:--;     32.780
1993-01-29;--:--;     32.020
1993-01-30;--:--;     32.810
1993-01-31;--:--;     31.410
1993-02-01;--:--;     32.890
1993-02-02;--:--;     32.700
1993-02-03;--:--;     34.380
1993-02-04;--:--;     31.270
1993-02-05;--:--;     31.830
1993-02-06;--:--;     32.400
1993-02-07;--:--;     32.830
1993-02-08;--:--;     35.340
1993-02-09;--:--;     35.290
1993-02-10;--:--;     33.860
1993-02-11;--:--;     32.580
1993-02-12;--:--;     32.540
1993-02-13;--:--;     32.900
1993-02-14;--:--;     32.830
1993-02-15;--:--;     32.980
1993-02-16;--:--;     33.050
1993-02-17;--:--;     33.450
1993-02-18;--:--;     33.390
1993-02-19;--:--;     34.560
1993-02-20;--:--;     36.830
1993-02-21;--:--;     34.540
1993-02-22;--:--;     33.490
1993-02-23;--:--;     36.270
1993-02-24;--:--;     36.230
1993-02-25;--:--;     35.970
1993-02-26;--:--;     36.190
1993-02-27;--:--;     38.600
1993-02-28;--:--;     47.900
1993-03-01;--:--;     42.980
1993-03-02;--:--;     39.880
1993-03-03;--:--;     43.000
1993-03-04;--:--;     41.660
1993-03-05;--:--;     39.140
1993-03-06;--:--;     38.080
1993-03-07;--:--;     40.460
1993-03-08;--:--;     41.530
1993-03-09;--:--;     39.520
1993-03-10;--:--;     38.140
1993-03-11;--:--;     37.710
1993-03-12;--:--;     36.120
1993-03-13;--:--;     35.550
1993-03-14;--:--;     36.080
1993-03-15;--:--;     59.520
1993-03-16;--:--;     71.020
1993-03-17;--:--;     50.400
1993-03-18;--:--;     43.330
1993-03-19;--:--;     41.090
1993-03-20;--:--;     40.000
1993-03-21;--:--;     43.190
1993-03-22;--:--;     46.480
1993-03-23;--:--;     46.210
1993-03-24;--:--;    129.490
1993-03-25;--:--;    136.670
1993-03-26;--:--;    108.190
1993-03-27;--:--;     82.960
1993-03-28;--:--;     81.200
1993-03-29;--:--;     80.680
1993-03-30;--:--;     71.750
1993-03-31;--:--;     62.370
1993-04-01;--:--;     61.200
1993-04-02;--:--;     54.940
1993-04-03;--:--;     55.620
1993-04-04;--:--;     51.760
1993-04-05;--:--;     49.450
1993-04-06;--:--;     45.620
1993-04-07;--:--;     46.300
1993-04-08;--:--;     44.360
1993-04-09;--:--;     44.120
1993-04-10;--:--;     43.490
1993-04-11;--:--;     41.240
1993-04-12;--:--;     40.220
1993-04-13;--:--;     40.350
1993-04-14;--:--;     39.450
1993-04-15;--:--;     39.170
1993-04-16;--:--;     38.660
1993-04-17;--:--;     37.360
1993-04-18;--:--;     37.480
1993-04-19;--:--;     36.850
1993-04-20;--:--;     36.240
1993-04-21;--:--;     36.890
1993-04-22;--:--;     31.140
1993-04-23;--:--;     33.420
1993-04-24;--:--;     31.130
1993-04-25;--:--;     33.660
1993-04-26;--:--;     35.930
1993-04-27;--:--;     34.410
1993-04-28;--:--;    205.900
1993-04-29;--:--;    887.180
1993-04-30;--:--;    249.740
1993-05-01;--:--;    137.490
1993-05-02;--:--;    145.730
1993-05-03;--:--;    250.190
1993-05-04;--:--;    146.400
1993-05-05;--:--;    113.290
1993-05-06;--:--;    102.270
1993-05-07;--:--;     92.610
1993-05-08;--:--;     80.500
1993-05-09;--:--;     77.330
1993-05-10;--:--;     82.690
1993-05-11;--:--;     82.410
1993-05-12;--:--;     72.140
1993-05-13;--:--;     70.540
1993-05-14;--:--;     75.670
1993-05-15;--:--;     76.710
1993-05-16;--:--;     62.440
1993-05-17;--:--;     61.860
1993-05-18;--:--;     62.100
1993-05-19;--:--;     58.230
1993-05-20;--:--;     57.510
1993-05-21;--:--;     51.560
1993-05-22;--:--;     56.140
1993-05-23;--:--;     53.230
1993-05-24;--:--;     48.670
1993-05-25;--:--;     46.610
1993-05-26;--:--;     44.860
1993-05-27;--:--;     41.300
1993-05-28;--:--;     42.060
1993-05-29;--:--;     44.040
1993-05-30;--:--;     52.130
1993-05-31;--:--;     40.310
1993-06-01;--:--;     40.840
1993-06-02;--:--;     62.900
1993-06-03;--:--;     57.130
1993-06-04;--:--;     42.310
1993-06-05;--:--;     39.440
1993-06-06;--:--;     37.940
1993-06-07;--:--;     38.430
1993-06-08;--:--;     39.630
1993-06-09;--:--;     45.500
1993-06-10;--:--;     33.590
1993-06-11;--:--;     30.550
1993-06-12;--:--;     27.420
1993-06-13;--:--;    165.830
1993-06-14;--:--;    218.730
1993-06-15;--:--;    554.250
1993-06-16;--:--;    330.440
1993-06-17;--:--;    251.540
