# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590200
# River:                 ONGA GAWA
# Station:               HINODE-BASHI
# Country:               JP
# Latitude (DD):       33.75
# Longitude (DD):      130.73
# Catchment area (km²):      695.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993-01 - 2003-12
# No. of years:          12
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4017
# DATA
YYYY-MM-DD;hh:mm; Value
1993-01-01;--:--;      8.210
1993-01-02;--:--;      8.150
1993-01-03;--:--;      8.150
1993-01-04;--:--;      8.150
1993-01-05;--:--;      7.930
1993-01-06;--:--;      7.790
1993-01-07;--:--;     13.760
1993-01-08;--:--;     17.740
1993-01-09;--:--;     11.000
1993-01-10;--:--;     17.450
1993-01-11;--:--;     18.680
1993-01-12;--:--;     14.390
1993-01-13;--:--;     11.830
1993-01-14;--:--;     24.670
1993-01-15;--:--;     18.230
1993-01-16;--:--;     16.110
1993-01-17;--:--;     51.440
1993-01-18;--:--;     29.770
1993-01-19;--:--;     21.500
1993-01-20;--:--;     17.080
1993-01-21;--:--;     14.270
1993-01-22;--:--;     13.020
1993-01-23;--:--;     12.110
1993-01-24;--:--;     11.500
1993-01-25;--:--;     11.090
1993-01-26;--:--;     10.310
1993-01-27;--:--;     10.700
1993-01-28;--:--;     10.440
1993-01-29;--:--;      9.560
1993-01-30;--:--;      9.260
1993-01-31;--:--;      8.870
1993-02-01;--:--;      9.050
1993-02-02;--:--;      8.610
1993-02-03;--:--;      8.150
1993-02-04;--:--;      8.670
1993-02-05;--:--;      8.260
1993-02-06;--:--;      7.820
1993-02-07;--:--;      8.040
1993-02-08;--:--;      7.980
1993-02-09;--:--;      7.870
1993-02-10;--:--;      7.680
1993-02-11;--:--;      7.480
1993-02-12;--:--;      7.450
1993-02-13;--:--;      6.930
1993-02-14;--:--;      6.850
1993-02-15;--:--;      6.850
1993-02-16;--:--;      6.700
1993-02-17;--:--;     15.650
1993-02-18;--:--;     10.460
1993-02-19;--:--;      7.510
1993-02-20;--:--;      7.480
1993-02-21;--:--;      9.860
1993-02-22;--:--;     13.630
1993-02-23;--:--;     10.260
1993-02-24;--:--;      8.720
1993-02-25;--:--;      8.150
1993-02-26;--:--;      7.900
1993-02-27;--:--;      8.740
1993-02-28;--:--;     22.390
1993-03-01;--:--;     11.900
1993-03-02;--:--;     10.250
