# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590200
# River:                 ONGA GAWA
# Station:               HINODE-BASHI
# Country:               JP
# Latitude (DD):       33.75
# Longitude (DD):      130.73
# Catchment area (km²):      695.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;     14.618;     14.618; 100
1993-02-01;--:--;      9.112;      9.112; 100
1993-03-01;--:--;     13.418;     13.418; 100
1993-04-01;--:--;     18.231;     18.231; 100
1993-05-01;--:--;     22.096;     22.096; 100
1993-06-01;--:--;     63.831;     63.831; 100
1993-07-01;--:--;     97.349;     97.349; 100
1993-08-01;--:--;    125.015;    125.015; 100
1993-09-01;--:--;     68.390;     68.390; 100
1993-10-01;--:--;     29.535;     29.535; 100
1993-11-01;--:--;     25.873;     25.873; 100
1993-12-01;--:--;     18.360;     18.360; 100
1994-01-01;--:--;     13.811;     13.811; 100
1994-02-01;--:--;     19.092;     19.092; 100
1994-03-01;--:--;     13.283;     13.283; 100
1994-04-01;--:--;     26.151;     26.151; 100
1994-05-01;--:--;     14.577;     14.577; 100
1994-06-01;--:--;     27.130;     27.130; 100
1994-07-01;--:--;      6.046;      6.046; 100
1994-08-01;--:--;      2.616;      2.615; 100
1994-09-01;--:--;     11.525;     11.525; 100
1994-10-01;--:--;      6.926;      6.926; 100
1994-11-01;--:--;      4.197;      4.197; 100
1994-12-01;--:--;      4.385;      4.385; 100
1995-01-01;--:--;      5.903;      5.903; 100
1995-02-01;--:--;      4.760;      4.760; 100
1995-03-01;--:--;      7.609;      7.609; 100
1995-04-01;--:--;     11.790;     11.790; 100
1995-05-01;--:--;     47.701;     47.701; 100
1995-06-01;--:--;     13.531;     13.531; 100
1995-07-01;--:--;    148.964;    148.965; 100
1995-08-01;--:--;     13.864;     13.864; 100
1995-09-01;--:--;     22.612;     22.612; 100
1995-10-01;--:--;     15.252;     15.252; 100
1995-11-01;--:--;      7.465;      7.465; 100
1995-12-01;--:--;      5.385;      5.385; 100
1996-01-01;--:--;      6.675;      6.675; 100
1996-02-01;--:--;      5.925;      5.925; 100
1996-03-01;--:--;     17.368;     17.368; 100
1996-04-01;--:--;     13.344;     13.344; 100
