# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590210
# River:                 MATSUURA GAWA
# Station:               MUTABE
# Country:               JP
# Latitude (DD):       33.36
# Longitude (DD):      130.01
# Catchment area (km²):      275.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;      4.334;      4.334; 100
1993-02-01;--:--;      3.604;      3.604; 100
1993-03-01;--:--;      6.291;      6.291; 100
1993-04-01;--:--;      9.573;      9.573; 100
1993-05-01;--:--;     12.523;     12.523; 100
1993-06-01;--:--;     28.571;     28.571; 100
1993-07-01;--:--;     43.044;     43.044; 100
1993-08-01;--:--;     70.236;     70.236; 100
1993-09-01;--:--;     23.906;     23.906; 100
1993-10-01;--:--;      7.116;      7.116; 100
1993-11-01;--:--;      8.461;      8.461; 100
1993-12-01;--:--;      5.916;      5.916; 100
1994-01-01;--:--;      4.701;      4.701; 100
1994-02-01;--:--;      6.621;      6.621; 100
1994-03-01;--:--;      5.973;      5.973; 100
1994-04-01;--:--;     14.987;     14.987; 100
1994-05-01;--:--;      7.743;      7.743; 100
1994-06-01;--:--;     13.661;     13.661; 100
1994-07-01;--:--;      2.508;      2.508; 100
1994-08-01;--:--;      1.880;      1.880; 100
1994-09-01;--:--;      4.792;      4.792; 100
1994-10-01;--:--;      2.189;      2.189; 100
1994-11-01;--:--;      1.365;      1.365; 100
1994-12-01;--:--;      2.005;      2.005; 100
1995-01-01;--:--;      2.604;      2.604; 100
1995-02-01;--:--;      1.429;      1.429; 100
1995-03-01;--:--;      2.810;      2.810; 100
1995-04-01;--:--;      5.898;      5.898; 100
1995-05-01;--:--;     18.379;     18.379; 100
1995-06-01;--:--;      7.388;      7.388; 100
1995-07-01;--:--;     49.050;     49.050; 100
1995-08-01;--:--;      6.934;      6.934; 100
1995-09-01;--:--;     20.843;     20.843; 100
1995-10-01;--:--;      6.514;      6.514; 100
1995-11-01;--:--;      3.242;      3.242; 100
1995-12-01;--:--;      2.425;      2.425; 100
