# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590230
# River:                 SENDAI GAWA
# Station:               ONOBUCHI
# Country:               JP
# Latitude (DD):       31.86
# Longitude (DD):      130.34
# Catchment area (km²):      1348.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;     29.856;     29.856; 100
1993-02-01;--:--;     29.158;     29.158; 100
1993-03-01;--:--;     42.244;     42.244; 100
1993-04-01;--:--;     51.599;     51.599; 100
1993-05-01;--:--;     91.525;     91.525; 100
1993-06-01;--:--;    371.235;    371.235; 100
1993-07-01;--:--;    535.704;    535.705; 100
1993-08-01;--:--;    544.667;    544.667; 100
1993-09-01;--:--;    222.941;    222.941; 100
1993-10-01;--:--;     75.947;     75.947; 100
1993-11-01;--:--;     56.028;     56.028; 100
1993-12-01;--:--;     55.128;     55.128; 100
1994-01-01;--:--;     48.396;     48.396; 100
1994-02-01;--:--;     52.117;     52.117; 100
1994-03-01;--:--;     39.962;     39.962; 100
1994-04-01;--:--;    128.780;    128.780; 100
1994-05-01;--:--;     65.272;     65.272; 100
1994-06-01;--:--;    161.789;    161.789; 100
1994-07-01;--:--;     45.995;     45.995; 100
1994-08-01;--:--;     32.642;     32.642; 100
1994-09-01;--:--;     24.128;     24.128; 100
1994-10-01;--:--;     27.622;     27.622; 100
1994-11-01;--:--;     21.010;     21.010; 100
1994-12-01;--:--;     24.257;     24.257; 100
1995-01-01;--:--;     21.376;     21.376; 100
1995-02-01;--:--;     20.149;     20.149; 100
1995-03-01;--:--;     22.284;     22.285; 100
1995-04-01;--:--;     73.969;     73.969; 100
1995-05-01;--:--;     91.101;     91.101; 100
1995-06-01;--:--;    187.502;    187.502; 100
1995-07-01;--:--;    221.204;    221.204; 100
1995-08-01;--:--;     59.374;     59.374; 100
1995-09-01;--:--;     58.377;     58.377; 100
1995-10-01;--:--;     41.930;     41.930; 100
1995-11-01;--:--;     31.820;     31.820; 100
1995-12-01;--:--;     24.793;     24.793; 100
1996-01-01;--:--;     27.112;     27.112; 100
1996-02-01;--:--;     22.597;     22.597; 100
1996-03-01;--:--;     41.214;     41.214; 100
1996-04-01;--:--;     47.257;     47.257; 100
1996-05-01;--:--;     46.216;     46.216; 100
1996-06-01;--:--;    181.815;    181.815; 100
1996-07-01;--:--;    278.776;    278.776; 100
1996-08-01;--:--;     84.704;     84.705; 100
1996-09-01;--:--;     38.390;     38.390; 100
1996-10-01;--:--;     32.689;     32.689; 100
1996-11-01;--:--;     29.744;     29.744; 100
1996-12-01;--:--;     30.626;     30.625; 100
1997-01-01;--:--;     26.395;     26.395; 100
1997-02-01;--:--;     25.755;     25.755; 100
1997-03-01;--:--;     33.382;     33.382; 100
1997-04-01;--:--;     88.973;     88.973; 100
1997-05-01;--:--;     80.226;     80.225; 100
1997-06-01;--:--;    125.099;    125.099; 100
1997-07-01;--:--;    274.754;    274.754; 100
1997-08-01;--:--;    103.497;    103.497; 100
1997-09-01;--:--;    157.146;    157.146; 100
1997-10-01;--:--;     49.102;     49.102; 100
1997-11-01;--:--;     50.797;     50.797; 100
1997-12-01;--:--;     40.428;     40.428; 100
1998-01-01;--:--;     51.399;     51.399; 100
1998-02-01;--:--;     61.100;     61.100; 100
1998-03-01;--:--;     63.711;     63.711; 100
1998-04-01;--:--;    161.792;    161.792; 100
1998-05-01;--:--;    130.451;    130.451; 100
1998-06-01;--:--;    350.202;    350.202; 100
1998-07-01;--:--;     94.697;     94.697; 100
1998-08-01;--:--;     53.129;     53.129; 100
1998-09-01;--:--;     42.223;     42.223; 100
1998-10-01;--:--;     96.573;     96.573; 100
1998-11-01;--:--;     37.776;     37.776; 100
