# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590301
# River:                 KUMA GAWA
# Station:               HITOYOSHI
# Country:               JP
# Latitude (DD):       32.21
# Longitude (DD):      130.77
# Catchment area (km²):      1137.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2590300
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993-01 - 2003-12
# No. of years:          12
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4017
# DATA
YYYY-MM-DD;hh:mm; Value
1993-01-01;--:--;     16.220
1993-01-02;--:--;     15.440
1993-01-03;--:--;     14.610
1993-01-04;--:--;     13.920
1993-01-05;--:--;     13.580
1993-01-06;--:--;     12.980
1993-01-07;--:--;     14.240
1993-01-08;--:--;     14.560
1993-01-09;--:--;     13.640
1993-01-10;--:--;     15.920
1993-01-11;--:--;     16.620
1993-01-12;--:--;     14.940
1993-01-13;--:--;     14.180
1993-01-14;--:--;     47.120
1993-01-15;--:--;     39.180
1993-01-16;--:--;     32.270
1993-01-17;--:--;     29.430
1993-01-18;--:--;     26.740
1993-01-19;--:--;     24.590
1993-01-20;--:--;     22.280
1993-01-21;--:--;     20.510
1993-01-22;--:--;     19.180
1993-01-23;--:--;     18.120
1993-01-24;--:--;     17.130
1993-01-25;--:--;     17.320
1993-01-26;--:--;     16.540
1993-01-27;--:--;     15.560
1993-01-28;--:--;     16.330
1993-01-29;--:--;     14.740
1993-01-30;--:--;     14.650
1993-01-31;--:--;     14.470
1993-02-01;--:--;     14.530
1993-02-02;--:--;     13.550
1993-02-03;--:--;     12.600
1993-02-04;--:--;     11.020
1993-02-05;--:--;     12.770
1993-02-06;--:--;     12.900
1993-02-07;--:--;     14.020
1993-02-08;--:--;     15.480
1993-02-09;--:--;     13.310
1993-02-10;--:--;     12.440
1993-02-11;--:--;     11.860
1993-02-12;--:--;     11.600
1993-02-13;--:--;     11.370
1993-02-14;--:--;     10.740
1993-02-15;--:--;     10.740
1993-02-16;--:--;     12.180
1993-02-17;--:--;     22.770
1993-02-18;--:--;     19.600
1993-02-19;--:--;     16.330
1993-02-20;--:--;     16.500
1993-02-21;--:--;     27.960
1993-02-22;--:--;     35.940
1993-02-23;--:--;     29.480
1993-02-24;--:--;     26.240
1993-02-25;--:--;     24.070
1993-02-26;--:--;     21.350
1993-02-27;--:--;     21.620
1993-02-28;--:--;     34.200
1993-03-01;--:--;     30.400
1993-03-02;--:--;     27.370
1993-03-03;--:--;     24.840
1993-03-04;--:--;     22.780
1993-03-05;--:--;     21.720
1993-03-06;--:--;     20.810
1993-03-07;--:--;     23.330
1993-03-08;--:--;     21.270
1993-03-09;--:--;     20.100
1993-03-10;--:--;     19.720
1993-03-11;--:--;     19.580
1993-03-12;--:--;     19.310
1993-03-13;--:--;     18.110
1993-03-14;--:--;     17.310
1993-03-15;--:--;     26.190
1993-03-16;--:--;     33.880
1993-03-17;--:--;     27.820
1993-03-18;--:--;     24.480
1993-03-19;--:--;     23.410
1993-03-20;--:--;     22.620
1993-03-21;--:--;     21.860
1993-03-22;--:--;     21.720
1993-03-23;--:--;     21.630
1993-03-24;--:--;    167.190
1993-03-25;--:--;    192.520
1993-03-26;--:--;    131.860
1993-03-27;--:--;    105.640
1993-03-28;--:--;    100.100
1993-03-29;--:--;     85.160
1993-03-30;--:--;     69.600
1993-03-31;--:--;     65.530
1993-04-01;--:--;     54.430
1993-04-02;--:--;     49.530
1993-04-03;--:--;     44.290
1993-04-04;--:--;     43.740
1993-04-05;--:--;     40.450
1993-04-06;--:--;     37.880
1993-04-07;--:--;     34.410
1993-04-08;--:--;     32.620
1993-04-09;--:--;     31.420
1993-04-10;--:--;     27.750
1993-04-11;--:--;     26.430
1993-04-12;--:--;     27.010
1993-04-13;--:--;     25.170
1993-04-14;--:--;     24.230
1993-04-15;--:--;     23.560
1993-04-16;--:--;     25.540
1993-04-17;--:--;     25.630
1993-04-18;--:--;     22.970
1993-04-19;--:--;     21.830
1993-04-20;--:--;     20.520
1993-04-21;--:--;     20.020
1993-04-22;--:--;     22.950
1993-04-23;--:--;     21.100
1993-04-24;--:--;     32.750
1993-04-25;--:--;     25.760
1993-04-26;--:--;     21.440
1993-04-27;--:--;     20.560
1993-04-28;--:--;    107.980
1993-04-29;--:--;    265.240
1993-04-30;--:--;    149.580
1993-05-01;--:--;    102.380
1993-05-02;--:--;    137.160
1993-05-03;--:--;    194.700
1993-05-04;--:--;    134.180
1993-05-05;--:--;    102.970
1993-05-06;--:--;     88.940
1993-05-07;--:--;     88.470
1993-05-08;--:--;     75.480
1993-05-09;--:--;     68.480
1993-05-10;--:--;     74.800
1993-05-11;--:--;     87.490
1993-05-12;--:--;     73.660
1993-05-13;--:--;     67.180
1993-05-14;--:--;     70.270
1993-05-15;--:--;     61.240
1993-05-16;--:--;     51.010
1993-05-17;--:--;     48.120
1993-05-18;--:--;     51.310
1993-05-19;--:--;     46.250
1993-05-20;--:--;     43.540
1993-05-21;--:--;     40.550
1993-05-22;--:--;     96.420
1993-05-23;--:--;     65.350
1993-05-24;--:--;     55.820
1993-05-25;--:--;     55.300
1993-05-26;--:--;     47.760
1993-05-27;--:--;     43.800
1993-05-28;--:--;     41.630
1993-05-29;--:--;     42.330
1993-05-30;--:--;     42.410
1993-05-31;--:--;     36.870
1993-06-01;--:--;     35.090
1993-06-02;--:--;     83.050
1993-06-03;--:--;     61.320
1993-06-04;--:--;     46.720
1993-06-05;--:--;     41.620
1993-06-06;--:--;     39.060
1993-06-07;--:--;     36.740
1993-06-08;--:--;     42.960
1993-06-09;--:--;     52.950
1993-06-10;--:--;     39.750
1993-06-11;--:--;     35.450
1993-06-12;--:--;     34.260
1993-06-13;--:--;    559.210
1993-06-14;--:--;    832.770
1993-06-15;--:--;    983.460
1993-06-16;--:--;    862.070
1993-06-17;--:--;    526.550
1993-06-18;--:--;    998.980
1993-06-19;--:--;   1515.110
1993-06-20;--:--;    778.470
1993-06-21;--:--;    400.220
1993-06-22;--:--;    480.870
1993-06-23;--:--;   1437.080
1993-06-24;--:--;    586.300
1993-06-25;--:--;    442.620
1993-06-26;--:--;    557.980
1993-06-27;--:--;    382.580
1993-06-28;--:--;    316.570
1993-06-29;--:--;    345.360
1993-06-30;--:--;    850.430
1993-07-01;--:--;    736.850
1993-07-02;--:--;   1463.420
1993-07-03;--:--;    995.150
1993-07-04;--:--;   1354.270
1993-07-05;--:--;   2026.120
1993-07-06;--:--;    885.020
1993-07-07;--:--;    922.600
1993-07-08;--:--;    888.760
1993-07-09;--:--;    465.230
1993-07-10;--:--;    310.500
1993-07-11;--:--;    232.380
1993-07-12;--:--;    186.200
1993-07-13;--:--;    156.360
1993-07-14;--:--;    149.720
1993-07-15;--:--;    140.900
1993-07-16;--:--;    119.240
1993-07-17;--:--;   1428.180
1993-07-18;--:--;   1035.380
1993-07-19;--:--;    615.660
1993-07-20;--:--;    362.340
1993-07-21;--:--;    252.800
1993-07-22;--:--;    195.250
1993-07-23;--:--;    161.310
1993-07-24;--:--;    136.410
1993-07-25;--:--;    125.020
1993-07-26;--:--;    115.530
1993-07-27;--:--;    269.580
1993-07-28;--:--;    427.470
1993-07-29;--:--;    431.300
1993-07-30;--:--;    467.730
1993-07-31;--:--;    831.770
1993-08-01;--:--;   2069.710
1993-08-02;--:--;   1976.550
1993-08-03;--:--;    875.130
1993-08-04;--:--;    504.020
1993-08-05;--:--;    349.950
1993-08-06;--:--;    504.040
1993-08-07;--:--;    490.190
1993-08-08;--:--;    340.850
1993-08-09;--:--;    431.620
1993-08-10;--:--;   1551.780
1993-08-11;--:--;    668.820
1993-08-12;--:--;    388.550
1993-08-13;--:--;    275.140
1993-08-14;--:--;    215.890
1993-08-15;--:--;    238.060
1993-08-16;--:--;    237.050
1993-08-17;--:--;    373.860
1993-08-18;--:--;    930.210
1993-08-19;--:--;    555.400
1993-08-20;--:--;    554.660
1993-08-21;--:--;    383.580
1993-08-22;--:--;    291.380
1993-08-23;--:--;    230.630
1993-08-24;--:--;    177.360
1993-08-25;--:--;    151.620
1993-08-26;--:--;    131.060
1993-08-27;--:--;    115.720
1993-08-28;--:--;    101.400
1993-08-29;--:--;     92.390
1993-08-30;--:--;     82.340
1993-08-31;--:--;     72.290
1993-09-01;--:--;     71.010
1993-09-02;--:--;    117.170
1993-09-03;--:--;    894.410
1993-09-04;--:--;   1225.120
1993-09-05;--:--;    413.260
1993-09-06;--:--;    265.590
1993-09-07;--:--;    227.200
1993-09-08;--:--;    190.870
1993-09-09;--:--;    159.700
1993-09-10;--:--;    135.940
1993-09-11;--:--;    120.840
1993-09-12;--:--;    111.380
1993-09-13;--:--;    150.750
1993-09-14;--:--;    312.990
1993-09-15;--:--;    212.060
1993-09-16;--:--;    174.560
1993-09-17;--:--;    147.630
1993-09-18;--:--;    141.250
1993-09-19;--:--;    122.910
1993-09-20;--:--;    112.160
1993-09-21;--:--;    166.030
1993-09-22;--:--;    263.140
1993-09-23;--:--;    494.070
1993-09-24;--:--;    321.420
1993-09-25;--:--;    231.520
1993-09-26;--:--;    184.220
1993-09-27;--:--;    145.190
1993-09-28;--:--;    119.330
1993-09-29;--:--;    109.060
1993-09-30;--:--;    125.070
1993-10-01;--:--;    105.740
1993-10-02;--:--;     93.170
1993-10-03;--:--;     85.870
1993-10-04;--:--;     79.820
1993-10-05;--:--;     67.500
1993-10-06;--:--;     63.340
1993-10-07;--:--;     87.170
1993-10-08;--:--;     94.760
1993-10-09;--:--;     73.340
1993-10-10;--:--;     66.640
1993-10-11;--:--;     61.170
1993-10-12;--:--;     57.000
1993-10-13;--:--;     54.870
1993-10-14;--:--;     50.770
1993-10-15;--:--;     50.480
1993-10-16;--:--;     49.060
1993-10-17;--:--;     48.060
1993-10-18;--:--;     47.950
1993-10-19;--:--;     46.340
1993-10-20;--:--;     44.720
1993-10-21;--:--;     42.170
1993-10-22;--:--;     40.550
1993-10-23;--:--;     65.500
1993-10-24;--:--;     39.270
1993-10-25;--:--;     38.340
1993-10-26;--:--;     36.940
1993-10-27;--:--;     35.980
1993-10-28;--:--;     35.870
1993-10-29;--:--;     40.080
1993-10-30;--:--;     43.870
1993-10-31;--:--;     37.550
1993-11-01;--:--;     36.110
1993-11-02;--:--;     33.850
1993-11-03;--:--;     34.000
1993-11-04;--:--;     33.140
1993-11-05;--:--;     30.860
1993-11-06;--:--;     28.940
1993-11-07;--:--;     28.280
1993-11-08;--:--;     27.640
1993-11-09;--:--;     26.790
1993-11-10;--:--;     26.440
1993-11-11;--:--;     33.990
1993-11-12;--:--;     29.410
1993-11-13;--:--;     28.890
1993-11-14;--:--;     27.840
1993-11-15;--:--;     25.650
1993-11-16;--:--;     24.870
1993-11-17;--:--;     24.190
1993-11-18;--:--;     28.010
1993-11-19;--:--;     25.730
1993-11-20;--:--;     27.390
1993-11-21;--:--;     35.480
1993-11-22;--:--;     35.600
1993-11-23;--:--;     30.910
1993-11-24;--:--;     36.610
1993-11-25;--:--;     37.590
1993-11-26;--:--;     36.970
1993-11-27;--:--;     35.580
1993-11-28;--:--;     32.900
1993-11-29;--:--;     31.740
1993-11-30;--:--;     31.360
1993-12-01;--:--;     62.190
1993-12-02;--:--;     45.080
1993-12-03;--:--;     42.430
1993-12-04;--:--;     40.460
1993-12-05;--:--;     38.790
1993-12-06;--:--;     37.800
1993-12-07;--:--;     32.520
1993-12-08;--:--;     33.020
1993-12-09;--:--;     29.810
1993-12-10;--:--;     38.170
1993-12-11;--:--;     45.340
1993-12-12;--:--;     38.250
1993-12-13;--:--;     36.820
1993-12-14;--:--;     42.650
1993-12-15;--:--;     41.370
1993-12-16;--:--;     40.980
1993-12-17;--:--;     36.890
1993-12-18;--:--;     38.400
1993-12-19;--:--;     38.670
1993-12-20;--:--;     42.570
1993-12-21;--:--;     37.480
1993-12-22;--:--;     32.760
1993-12-23;--:--;     29.620
1993-12-24;--:--;     28.880
1993-12-25;--:--;     28.940
1993-12-26;--:--;     30.280
1993-12-27;--:--;     30.950
1993-12-28;--:--;     29.390
1993-12-29;--:--;     26.730
1993-12-30;--:--;     25.680
1993-12-31;--:--;     29.080
1994-01-01;--:--;     28.220
1994-01-02;--:--;     26.230
1994-01-03;--:--;     29.400
1994-01-04;--:--;     30.920
1994-01-05;--:--;     26.700
1994-01-06;--:--;     24.280
1994-01-07;--:--;     23.700
1994-01-08;--:--;     22.990
1994-01-09;--:--;     22.730
1994-01-10;--:--;     22.700
1994-01-11;--:--;     23.360
1994-01-12;--:--;     22.270
1994-01-13;--:--;     23.140
1994-01-14;--:--;     23.660
1994-01-15;--:--;     22.260
1994-01-16;--:--;     21.780
1994-01-17;--:--;     60.160
1994-01-18;--:--;     70.610
1994-01-19;--:--;     48.000
1994-01-20;--:--;     41.260
1994-01-21;--:--;     36.840
1994-01-22;--:--;     34.570
1994-01-23;--:--;     30.750
1994-01-24;--:--;     29.620
1994-01-25;--:--;     30.010
1994-01-26;--:--;     29.710
1994-01-27;--:--;     28.140
1994-01-28;--:--;     27.060
1994-01-29;--:--;     25.920
1994-01-30;--:--;     24.660
1994-01-31;--:--;     24.100
1994-02-01;--:--;     30.890
1994-02-02;--:--;     34.680
1994-02-03;--:--;     29.800
1994-02-04;--:--;     28.190
1994-02-05;--:--;     27.770
1994-02-06;--:--;     25.770
1994-02-07;--:--;     25.290
1994-02-08;--:--;     25.160
1994-02-09;--:--;     27.050
1994-02-10;--:--;     25.640
1994-02-11;--:--;     24.790
1994-02-12;--:--;     43.650
1994-02-13;--:--;     37.770
1994-02-14;--:--;     34.110
1994-02-15;--:--;     39.410
1994-02-16;--:--;     39.420
1994-02-17;--:--;     36.020
1994-02-18;--:--;     34.940
1994-02-19;--:--;     34.290
1994-02-20;--:--;     38.860
1994-02-21;--:--;     55.510
1994-02-22;--:--;     47.480
1994-02-23;--:--;     45.550
1994-02-24;--:--;     42.530
1994-02-25;--:--;     39.010
1994-02-26;--:--;     37.550
