# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590301
# River:                 KUMA GAWA
# Station:               HITOYOSHI
# Country:               JP
# Latitude (DD):       32.21
# Longitude (DD):      130.77
# Catchment area (km²):      1137.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2590300
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;     19.258;     19.258; 100
1993-02-01;--:--;     17.756;     17.756; 100
1993-03-01;--:--;     46.705;     46.705; 100
1993-04-01;--:--;     44.226;     44.226; 100
1993-05-01;--:--;     72.125;     72.125; 100
1993-06-01;--:--;    446.853;    446.853; 100
1993-07-01;--:--;    577.047;    577.047; 100
1993-08-01;--:--;    495.524;    495.524; 100
1993-09-01;--:--;    248.862;    248.862; 100
1993-10-01;--:--;     57.545;     57.545; 100
1993-11-01;--:--;     30.892;     30.892; 100
1993-12-01;--:--;     36.516;     36.516; 100
1994-01-01;--:--;     30.186;     30.185; 100
1994-02-01;--:--;     35.029;     35.029; 100
1994-03-01;--:--;     34.232;     34.232; 100
1994-04-01;--:--;     73.602;     73.602; 100
1994-05-01;--:--;     33.359;     33.359; 100
1994-06-01;--:--;    115.296;    115.296; 100
1994-07-01;--:--;     34.686;     34.686; 100
1994-08-01;--:--;     21.596;     21.596; 100
1994-09-01;--:--;     16.629;     16.629; 100
1994-10-01;--:--;     13.990;     13.990; 100
1994-11-01;--:--;     10.888;     10.888; 100
1994-12-01;--:--;     17.181;     17.181; 100
1995-01-01;--:--;     15.002;     15.002; 100
1995-02-01;--:--;     13.631;     13.631; 100
1995-03-01;--:--;     18.882;     18.882; 100
1995-04-01;--:--;     64.242;     64.242; 100
1995-05-01;--:--;     90.325;     90.325; 100
1995-06-01;--:--;    143.311;    143.311; 100
1995-07-01;--:--;    362.216;    362.215; 100
1995-08-01;--:--;     45.804;     45.805; 100
1995-09-01;--:--;     87.473;     87.473; 100
1995-10-01;--:--;     52.307;     52.307; 100
1995-11-01;--:--;     26.896;     26.896; 100
1995-12-01;--:--;     16.120;     16.120; 100
1996-01-01;--:--;     17.420;     17.420; 100
1996-02-01;--:--;     12.291;     12.291; 100
1996-03-01;--:--;     52.504;     52.504; 100
1996-04-01;--:--;     47.379;     47.379; 100
1996-05-01;--:--;     37.155;     37.155; 100
1996-06-01;--:--;    206.664;    206.664; 100
1996-07-01;--:--;    363.638;    363.638; 100
1996-08-01;--:--;    111.807;    111.807; 100
1996-09-01;--:--;     29.260;     29.260; 100
1996-10-01;--:--;     15.199;     15.199; 100
1996-11-01;--:--;     11.207;     11.207; 100
1996-12-01;--:--;     16.994;     16.995; 100
1997-01-01;--:--;     17.147;     17.147; 100
1997-02-01;--:--;     17.808;     17.808; 100
1997-03-01;--:--;     27.484;     27.484; 100
1997-04-01;--:--;     67.795;     67.795; 100
1997-05-01;--:--;     68.408;     68.408; 100
1997-06-01;--:--;     76.993;     76.993; 100
1997-07-01;--:--;    426.902;    426.902; 100
1997-08-01;--:--;    126.430;    126.430; 100
1997-09-01;--:--;    170.433;    170.433; 100
1997-10-01;--:--;     29.027;     29.027; 100
1997-11-01;--:--;     27.337;     27.337; 100
1997-12-01;--:--;     29.784;     29.784; 100
1998-01-01;--:--;     51.873;     51.873; 100
1998-02-01;--:--;     43.777;     43.777; 100
1998-03-01;--:--;     43.944;     43.945; 100
1998-04-01;--:--;    121.433;    121.433; 100
1998-05-01;--:--;    129.704;    129.705; 100
1998-06-01;--:--;    320.939;    320.939; 100
1998-07-01;--:--;     65.702;     65.702; 100
1998-08-01;--:--;     32.029;     32.029; 100
1998-09-01;--:--;     21.256;     21.256; 100
1998-10-01;--:--;     63.113;     63.113; 100
1998-11-01;--:--;     21.924;     21.924; 100
1998-12-01;--:--;     13.935;     13.935; 100
1999-01-01;--:--;     11.349;     11.349; 100
1999-02-01;--:--;     11.879;     11.879; 100
1999-03-01;--:--;     25.923;     25.923; 100
