# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590401
# River:                 OYODO GAWA
# Station:               HIWATASHI
# Country:               JP
# Latitude (DD):       31.86
# Longitude (DD):      131.1
# Catchment area (km²):      860.6
# Altitude (m ASL):        -999.00
# Next downstream station:      2590400
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;     23.279;     23.279; 100
1993-02-01;--:--;     20.288;     20.288; 100
1993-03-01;--:--;     33.905;     33.905; 100
1993-04-01;--:--;     28.766;     28.766; 100
1993-05-01;--:--;     39.418;     39.418; 100
1993-06-01;--:--;    192.488;    192.488; 100
1993-07-01;--:--;    343.665;    343.665; 100
1993-08-01;--:--;    336.952;    336.952; 100
1993-09-01;--:--;    157.684;    157.684; 100
1993-10-01;--:--;     82.385;     82.385; 100
1993-11-01;--:--;     64.680;     64.680; 100
1993-12-01;--:--;     53.613;     53.613; 100
1994-01-01;--:--;     46.536;     46.535; 100
1994-02-01;--:--;     48.560;     48.560; 100
1994-03-01;--:--;     41.817;     41.817; 100
1994-04-01;--:--;     96.841;     96.841; 100
1994-05-01;--:--;     44.574;     44.574; 100
1994-06-01;--:--;    109.586;    109.586; 100
1994-07-01;--:--;     41.914;     41.915; 100
1994-08-01;--:--;     53.066;     53.066; 100
1994-09-01;--:--;     31.156;     31.156; 100
1994-10-01;--:--;     38.000;     38.000; 100
1994-11-01;--:--;     30.710;     30.710; 100
1994-12-01;--:--;     31.439;     31.439; 100
1995-01-01;--:--;     28.925;     28.925; 100
1995-02-01;--:--;     27.985;     27.985; 100
1995-03-01;--:--;     33.973;     33.973; 100
1995-04-01;--:--;     61.889;     61.889; 100
1995-05-01;--:--;     53.165;     53.165; 100
1995-06-01;--:--;    145.334;    145.334; 100
1995-07-01;--:--;     84.984;     84.984; 100
1995-08-01;--:--;     34.819;     34.819; 100
1995-09-01;--:--;     40.352;     40.352; 100
1995-10-01;--:--;     42.356;     42.356; 100
1995-11-01;--:--;     27.543;     27.543; 100
1995-12-01;--:--;     23.538;     23.538; 100
1996-01-01;--:--;     22.843;     22.843; 100
1996-02-01;--:--;     20.592;     20.592; 100
1996-03-01;--:--;     28.302;     28.302; 100
1996-04-01;--:--;     30.919;     30.919; 100
1996-05-01;--:--;     36.511;     36.511; 100
1996-06-01;--:--;     92.577;     92.577; 100
1996-07-01;--:--;    176.354;    176.354; 100
1996-08-01;--:--;     88.883;     88.883; 100
1996-09-01;--:--;     39.940;     39.940; 100
1996-10-01;--:--;     36.377;     36.377; 100
1996-11-01;--:--;     28.653;     28.653; 100
1996-12-01;--:--;     26.552;     26.552; 100
1997-01-01;--:--;     21.081;     21.081; 100
1997-02-01;--:--;     19.927;     19.927; 100
1997-03-01;--:--;     23.519;     23.519; 100
1997-04-01;--:--;     33.308;     33.308; 100
1997-05-01;--:--;     24.461;     24.461; 100
1997-06-01;--:--;     57.439;     57.439; 100
1997-07-01;--:--;    108.067;    108.067; 100
1997-08-01;--:--;     96.658;     96.658; 100
1997-09-01;--:--;    156.527;    156.527; 100
1997-10-01;--:--;     42.360;     42.360; 100
1997-11-01;--:--;     34.095;     34.095; 100
1997-12-01;--:--;     30.081;     30.081; 100
1998-01-01;--:--;     44.468;     44.468; 100
1998-02-01;--:--;     44.795;     44.795; 100
1998-03-01;--:--;     41.225;     41.225; 100
1998-04-01;--:--;     85.500;     85.500; 100
1998-05-01;--:--;     65.946;     65.945; 100
1998-06-01;--:--;    144.363;    144.363; 100
1998-07-01;--:--;     36.333;     36.333; 100
1998-08-01;--:--;     13.186;     13.186; 100
1998-09-01;--:--;     20.163;     20.163; 100
1998-10-01;--:--;     58.344;     58.344; 100
1998-11-01;--:--;     30.350;     30.350; 100
