# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590100
# River:                 CHIKUGO GAWA
# Station:               SENOSHITA
# Country:               JP
# Latitude (DD):       33.316111
# Longitude (DD):      130.497222
# Catchment area (km²):      2315.0
# Altitude (m ASL):        2.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965 - 2003
# No. of years:          39
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 468
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1965-01-01;--:--;     36.000;   -999.000;   0
1965-02-01;--:--;     48.000;   -999.000;   0
1965-03-01;--:--;     30.000;   -999.000;   0
1965-04-01;--:--;     45.000;   -999.000;   0
1965-05-01;--:--;     92.000;   -999.000;   0
1965-06-01;--:--;    235.000;   -999.000;   0
1965-07-01;--:--;    475.000;   -999.000;   0
1965-08-01;--:--;    117.000;   -999.000;   0
1965-09-01;--:--;    118.000;   -999.000;   0
1965-10-01;--:--;     66.000;   -999.000;   0
1965-11-01;--:--;     72.000;   -999.000;   0
1965-12-01;--:--;     71.000;   -999.000;   0
1966-01-01;--:--;     92.000;   -999.000;   0
1966-02-01;--:--;     81.000;   -999.000;   0
1966-03-01;--:--;    476.000;   -999.000;   0
1966-04-01;--:--;    121.000;   -999.000;   0
1966-05-01;--:--;    171.000;   -999.000;   0
1966-06-01;--:--;    449.000;   -999.000;   0
1966-07-01;--:--;    641.000;   -999.000;   0
1966-08-01;--:--;    146.000;   -999.000;   0
1966-09-01;--:--;    617.000;   -999.000;   0
1966-10-01;--:--;    128.000;   -999.000;   0
1966-11-01;--:--;    210.000;   -999.000;   0
1966-12-01;--:--;     62.000;   -999.000;   0
1967-01-01;--:--;     50.000;   -999.000;   0
1967-02-01;--:--;     48.000;   -999.000;   0
1967-03-01;--:--;     74.000;   -999.000;   0
1967-04-01;--:--;    151.000;   -999.000;   0
1967-05-01;--:--;     73.000;   -999.000;   0
1967-06-01;--:--;     33.000;   -999.000;   0
1967-07-01;--:--;    201.000;   -999.000;   0
1967-08-01;--:--;     45.000;   -999.000;   0
1967-09-01;--:--;     31.000;   -999.000;   0
1967-10-01;--:--;     44.000;   -999.000;   0
1967-11-01;--:--;     48.000;   -999.000;   0
1967-12-01;--:--;     41.000;   -999.000;   0
1968-01-01;--:--;     46.000;   -999.000;   0
1968-02-01;--:--;     43.000;   -999.000;   0
1968-03-01;--:--;     63.000;   -999.000;   0
1968-04-01;--:--;     53.000;   -999.000;   0
1968-05-01;--:--;     29.000;   -999.000;   0
1968-06-01;--:--;     30.000;   -999.000;   0
1968-07-01;--:--;    217.000;   -999.000;   0
1968-08-01;--:--;     69.000;   -999.000;   0
1968-09-01;--:--;     77.000;   -999.000;   0
1968-10-01;--:--;     78.000;   -999.000;   0
1968-11-01;--:--;     46.000;   -999.000;   0
1968-12-01;--:--;     56.000;   -999.000;   0
1969-01-01;--:--;     58.000;   -999.000;   0
1969-02-01;--:--;     96.000;   -999.000;   0
1969-03-01;--:--;     63.000;   -999.000;   0
1969-04-01;--:--;     76.000;   -999.000;   0
1969-05-01;--:--;     53.000;   -999.000;   0
1969-06-01;--:--;    131.000;   -999.000;   0
1969-07-01;--:--;    428.000;   -999.000;   0
1969-08-01;--:--;     70.000;   -999.000;   0
1969-09-01;--:--;     46.000;   -999.000;   0
1969-10-01;--:--;     53.000;   -999.000;   0
1969-11-01;--:--;     40.000;   -999.000;   0
1969-12-01;--:--;     41.000;   -999.000;   0
1970-01-01;--:--;     24.000;   -999.000;   0
1970-02-01;--:--;     37.000;   -999.000;   0
1970-03-01;--:--;     42.000;   -999.000;   0
1970-04-01;--:--;     87.000;   -999.000;   0
1970-05-01;--:--;    104.000;   -999.000;   0
1970-06-01;--:--;    198.000;   -999.000;   0
1970-07-01;--:--;    169.000;   -999.000;   0
1970-08-01;--:--;    112.000;   -999.000;   0
1970-09-01;--:--;    168.000;   -999.000;   0
1970-10-01;--:--;     80.000;   -999.000;   0
1970-11-01;--:--;     43.000;   -999.000;   0
1970-12-01;--:--;     36.000;   -999.000;   0
1971-01-01;--:--;     38.000;   -999.000;   0
1971-02-01;--:--;     40.000;   -999.000;   0
1971-03-01;--:--;     47.000;   -999.000;   0
1971-04-01;--:--;     37.000;   -999.000;   0
1971-05-01;--:--;     92.000;   -999.000;   0
1971-06-01;--:--;    274.000;   -999.000;   0
1971-07-01;--:--;    273.000;   -999.000;   0
1971-08-01;--:--;    277.000;   -999.000;   0
1971-09-01;--:--;    142.000;   -999.000;   0
1971-10-01;--:--;     76.000;   -999.000;   0
1971-11-01;--:--;     45.000;   -999.000;   0
1971-12-01;--:--;     35.000;   -999.000;   0
1972-01-01;--:--;     42.000;   -999.000;   0
1972-02-01;--:--;     85.000;   -999.000;   0
1972-03-01;--:--;     97.000;   -999.000;   0
1972-04-01;--:--;    102.000;   -999.000;   0
1972-05-01;--:--;    141.000;   -999.000;   0
1972-06-01;--:--;    264.000;   -999.000;   0
1972-07-01;--:--;    559.000;   -999.000;   0
1972-08-01;--:--;    133.000;   -999.000;   0
1972-09-01;--:--;    134.000;   -999.000;   0
1972-10-01;--:--;     68.000;   -999.000;   0
1972-11-01;--:--;     69.000;   -999.000;   0
1972-12-01;--:--;     41.000;   -999.000;   0
1973-01-01;--:--;     70.000;   -999.000;   0
1973-02-01;--:--;     87.000;   -999.000;   0
1973-03-01;--:--;     59.000;   -999.000;   0
1973-04-01;--:--;    185.000;   -999.000;   0
1973-05-01;--:--;    130.000;   -999.000;   0
1973-06-01;--:--;    175.000;   -999.000;   0
1973-07-01;--:--;    155.000;   -999.000;   0
1973-08-01;--:--;     62.000;   -999.000;   0
1973-09-01;--:--;    110.000;   -999.000;   0
1973-10-01;--:--;     54.000;   -999.000;   0
1973-11-01;--:--;     38.000;   -999.000;   0
1973-12-01;--:--;     33.000;   -999.000;   0
1974-01-01;--:--;     33.000;   -999.000;   0
1974-02-01;--:--;     36.000;   -999.000;   0
1974-03-01;--:--;     64.000;   -999.000;   0
1974-04-01;--:--;    129.000;   -999.000;   0
1974-05-01;--:--;     56.000;   -999.000;   0
1974-06-01;--:--;     73.000;   -999.000;   0
1974-07-01;--:--;    248.000;   -999.000;   0
1974-08-01;--:--;     41.000;   -999.000;   0
1974-09-01;--:--;     78.000;   -999.000;   0
1974-10-01;--:--;     64.000;   -999.000;   0
1974-11-01;--:--;     42.000;   -999.000;   0
1974-12-01;--:--;     41.000;   -999.000;   0
1975-01-01;--:--;   -999.000;   -999.000;   0
1975-02-01;--:--;   -999.000;   -999.000;   0
1975-03-01;--:--;   -999.000;   -999.000;   0
1975-04-01;--:--;   -999.000;   -999.000;   0
1975-05-01;--:--;   -999.000;   -999.000;   0
1975-06-01;--:--;   -999.000;   -999.000;   0
1975-07-01;--:--;   -999.000;   -999.000;   0
1975-08-01;--:--;   -999.000;   -999.000;   0
1975-09-01;--:--;   -999.000;   -999.000;   0
1975-10-01;--:--;   -999.000;   -999.000;   0
1975-11-01;--:--;   -999.000;   -999.000;   0
1975-12-01;--:--;   -999.000;   -999.000;   0
1976-01-01;--:--;     45.000;   -999.000;   0
1976-02-01;--:--;     86.000;   -999.000;   0
1976-03-01;--:--;     97.000;   -999.000;   0
1976-04-01;--:--;    108.000;   -999.000;   0
1976-05-01;--:--;    180.000;   -999.000;   0
1976-06-01;--:--;    286.000;   -999.000;   0
1976-07-01;--:--;    112.000;   -999.000;   0
1976-08-01;--:--;    170.000;   -999.000;   0
1976-09-01;--:--;    203.000;   -999.000;   0
1976-10-01;--:--;    103.000;   -999.000;   0
1976-11-01;--:--;     57.000;   -999.000;   0
1976-12-01;--:--;     58.000;   -999.000;   0
1977-01-01;--:--;     57.000;   -999.000;   0
1977-02-01;--:--;     58.000;   -999.000;   0
1977-03-01;--:--;     85.000;   -999.000;   0
1977-04-01;--:--;    159.000;   -999.000;   0
1977-05-01;--:--;    188.000;   -999.000;   0
1977-06-01;--:--;    333.000;   -999.000;   0
1977-07-01;--:--;    133.000;   -999.000;   0
1977-08-01;--:--;     63.000;   -999.000;   0
1977-09-01;--:--;     50.000;   -999.000;   0
1977-10-01;--:--;     58.000;   -999.000;   0
1977-11-01;--:--;     47.000;   -999.000;   0
1977-12-01;--:--;     41.000;   -999.000;   0
1978-01-01;--:--;     46.000;     45.419; 100
1978-02-01;--:--;     66.000;     66.107; 100
1978-03-01;--:--;     53.000;     52.903; 100
1978-04-01;--:--;     53.000;     53.133; 100
1978-05-01;--:--;     38.000;     37.645; 100
1978-06-01;--:--;     87.000;     86.600; 100
1978-07-01;--:--;     51.000;     50.613; 100
1978-08-01;--:--;     40.000;     40.161; 100
1978-09-01;--:--;     55.000;     54.633; 100
1978-10-01;--:--;     55.000;     55.194; 100
1978-11-01;--:--;     43.000;     43.200; 100
1978-12-01;--:--;     40.000;     40.161; 100
1979-01-01;--:--;     38.000;     37.387; 100
1979-02-01;--:--;     68.000;     67.357; 100
1979-03-01;--:--;     80.000;     79.968; 100
1979-04-01;--:--;     99.000;     98.633; 100
1979-05-01;--:--;     61.000;     60.806; 100
1979-06-01;--:--;    386.000;    385.567; 100
1979-07-01;--:--;    266.000;    265.452; 100
1979-08-01;--:--;     92.000;     91.871; 100
1979-09-01;--:--;    113.000;    112.900; 100
1979-10-01;--:--;     80.000;     80.032; 100
1979-11-01;--:--;     61.000;     60.800; 100
1979-12-01;--:--;     85.000;     85.065; 100
1980-01-01;--:--;     66.000;     65.742; 100
1980-02-01;--:--;     50.000;     49.655; 100
1980-03-01;--:--;     80.000;     79.935; 100
1980-04-01;--:--;    122.000;    121.367; 100
1980-05-01;--:--;    142.000;    141.000; 100
1980-06-01;--:--;    173.000;    172.767; 100
1980-07-01;--:--;    687.000;    686.387; 100
1980-08-01;--:--;    577.000;    576.000; 100
1980-09-01;--:--;    327.000;    326.467; 100
1980-10-01;--:--;    133.000;    132.581; 100
1980-11-01;--:--;     73.000;     72.667; 100
1980-12-01;--:--;     71.000;     70.355; 100
1981-01-01;--:--;     59.000;     58.194; 100
1981-02-01;--:--;     99.000;     98.393; 100
1981-03-01;--:--;     93.000;     92.742; 100
1981-04-01;--:--;    113.000;    112.867; 100
1981-05-01;--:--;    126.000;    125.677; 100
1981-06-01;--:--;    294.000;    293.533; 100
1981-07-01;--:--;    303.000;    302.645; 100
1981-08-01;--:--;    100.000;     99.484; 100
1981-09-01;--:--;     86.000;     85.433; 100
1981-10-01;--:--;    162.000;    161.226; 100
1981-11-01;--:--;     78.000;     77.933; 100
1981-12-01;--:--;     53.000;     52.774; 100
1982-01-01;--:--;     52.000;     52.226; 100
1982-02-01;--:--;     60.000;     60.143; 100
1982-03-01;--:--;    124.000;    123.548; 100
1982-04-01;--:--;    105.000;    104.100; 100
1982-05-01;--:--;     61.000;     60.839; 100
1982-06-01;--:--;     51.000;     50.800; 100
1982-07-01;--:--;    645.000;    644.194; 100
1982-08-01;--:--;    207.000;    206.968; 100
1982-09-01;--:--;    143.000;    142.833; 100
1982-10-01;--:--;     94.000;     94.065; 100
1982-11-01;--:--;     70.000;     69.667; 100
1982-12-01;--:--;     55.000;     55.161; 100
1983-01-01;--:--;     58.000;     58.129; 100
1983-02-01;--:--;     52.000;     51.464; 100
1983-03-01;--:--;    123.000;    122.258; 100
1983-04-01;--:--;    139.000;    138.633; 100
1983-05-01;--:--;    168.000;    167.452; 100
1983-06-01;--:--;    157.000;    156.433; 100
1983-07-01;--:--;    329.000;    328.194; 100
1983-08-01;--:--;     62.000;     62.161; 100
1983-09-01;--:--;    111.000;    110.833; 100
1983-10-01;--:--;     87.000;     86.806; 100
1983-11-01;--:--;     54.000;     53.967; 100
1983-12-01;--:--;     51.000;     50.548; 100
1984-01-01;--:--;     44.000;     43.484; 100
1984-02-01;--:--;     52.000;     52.034; 100
1984-03-01;--:--;     65.000;     65.129; 100
1984-04-01;--:--;     82.000;     82.100; 100
1984-05-01;--:--;     61.000;     60.742; 100
1984-06-01;--:--;    254.000;    253.600; 100
1984-07-01;--:--;    127.000;    126.194; 100
1984-08-01;--:--;    103.000;    102.161; 100
1984-09-01;--:--;    105.000;    104.800; 100
1984-10-01;--:--;     52.000;     51.419; 100
1984-11-01;--:--;     44.000;     43.600; 100
1984-12-01;--:--;     47.000;     46.742; 100
1985-01-01;--:--;     44.000;     44.290; 100
1985-02-01;--:--;     57.000;     63.714; 100
1985-03-01;--:--;    122.000;    122.484; 100
1985-04-01;--:--;    103.000;    107.167; 100
1985-05-01;--:--;    103.000;    103.097; 100
1985-06-01;--:--;    441.000;    456.000; 100
1985-07-01;--:--;    307.000;    307.645; 100
1985-08-01;--:--;     62.000;     62.097; 100
1985-09-01;--:--;     86.000;     89.400; 100
1985-10-01;--:--;     88.000;     88.387; 100
1985-11-01;--:--;     44.000;     46.100; 100
1985-12-01;--:--;     43.000;     43.516; 100
1986-01-01;--:--;     44.000;     44.806; 100
1986-02-01;--:--;     38.000;     43.071; 100
1986-03-01;--:--;     78.000;     78.774; 100
1986-04-01;--:--;     87.000;     90.767; 100
1986-05-01;--:--;    153.000;    153.194; 100
1986-06-01;--:--;    282.000;    291.567; 100
1986-07-01;--:--;    472.000;    472.323; 100
1986-08-01;--:--;     63.000;     63.000; 100
1986-09-01;--:--;    117.000;    121.633; 100
1986-10-01;--:--;     54.000;     54.806; 100
1986-11-01;--:--;     42.000;     43.900; 100
1986-12-01;--:--;     45.000;     45.000; 100
1987-01-01;--:--;     58.000;     58.516; 100
1987-02-01;--:--;     57.000;     64.143; 100
1987-03-01;--:--;    122.000;    122.258; 100
1987-04-01;--:--;     93.000;     96.233; 100
1987-05-01;--:--;    126.000;    126.742; 100
1987-06-01;--:--;    175.000;    181.533; 100
1987-07-01;--:--;    439.000;    439.065; 100
1987-08-01;--:--;    339.000;    339.032; 100
1987-09-01;--:--;    159.000;    164.433; 100
1987-10-01;--:--;    102.000;    102.806; 100
1987-11-01;--:--;     77.000;     80.567; 100
1987-12-01;--:--;     58.000;     58.806; 100
1988-01-01;--:--;     55.000;     55.645; 100
1988-02-01;--:--;     41.000;     44.759; 100
1988-03-01;--:--;    112.000;    112.968; 100
1988-04-01;--:--;     89.000;     92.300; 100
1988-05-01;--:--;    129.000;    129.774; 100
1988-06-01;--:--;    327.000;    338.200; 100
1988-07-01;--:--;    216.000;    216.839; 100
1988-08-01;--:--;    107.000;    107.226; 100
1988-09-01;--:--;    101.000;    105.167; 100
1988-10-01;--:--;     59.000;     59.548; 100
1988-11-01;--:--;     44.000;     45.467; 100
1988-12-01;--:--;     42.000;     42.323; 100
1989-01-01;--:--;   -999.000;   -999.000;   0
1989-02-01;--:--;   -999.000;   -999.000;   0
1989-03-01;--:--;   -999.000;   -999.000;   0
1989-04-01;--:--;   -999.000;   -999.000;   0
1989-05-01;--:--;   -999.000;   -999.000;   0
1989-06-01;--:--;   -999.000;   -999.000;   0
1989-07-01;--:--;   -999.000;   -999.000;   0
1989-08-01;--:--;   -999.000;   -999.000;   0
1989-09-01;--:--;   -999.000;   -999.000;   0
1989-10-01;--:--;   -999.000;   -999.000;   0
1989-11-01;--:--;   -999.000;   -999.000;   0
1989-12-01;--:--;   -999.000;   -999.000;   0
1990-01-01;--:--;   -999.000;   -999.000;   0
1990-02-01;--:--;   -999.000;   -999.000;   0
1990-03-01;--:--;   -999.000;   -999.000;   0
1990-04-01;--:--;   -999.000;   -999.000;   0
1990-05-01;--:--;   -999.000;   -999.000;   0
