# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590101
# River:                 CHIKUGO GAWA
# Station:               ARASE
# Country:               JP
# Latitude (DD):       33.343333
# Longitude (DD):      130.835
# Catchment area (km²):      1443.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2590100
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;     33.212;     33.212; 100
1993-02-01;--:--;     34.539;     34.539; 100
1993-03-01;--:--;     56.271;     56.271; 100
1993-04-01;--:--;     82.109;     82.109; 100
1993-05-01;--:--;     78.356;     78.355; 100
1993-06-01;--:--;    368.972;    368.972; 100
1993-07-01;--:--;    391.842;    391.842; 100
1993-08-01;--:--;    260.294;    260.294; 100
1993-09-01;--:--;    184.288;    184.288; 100
1993-10-01;--:--;     79.026;     79.026; 100
1993-11-01;--:--;     58.666;     58.666; 100
1993-12-01;--:--;     58.024;     58.024; 100
1994-01-01;--:--;     47.704;     47.705; 100
1994-02-01;--:--;     59.763;     59.763; 100
1994-03-01;--:--;     52.546;     52.545; 100
1994-04-01;--:--;     80.222;     80.222; 100
1994-05-01;--:--;     40.235;     40.235; 100
1994-06-01;--:--;     73.475;     73.475; 100
1994-07-01;--:--;     25.741;     25.741; 100
1994-08-01;--:--;     21.952;     21.952; 100
1994-09-01;--:--;     22.193;     22.193; 100
1994-10-01;--:--;     22.079;     22.079; 100
1994-11-01;--:--;     22.113;     22.113; 100
1994-12-01;--:--;     25.264;     25.265; 100
1995-01-01;--:--;     25.728;     25.728; 100
1995-02-01;--:--;     29.428;     29.428; 100
1995-03-01;--:--;     23.025;     23.025; 100
1995-04-01;--:--;     41.938;     41.938; 100
1995-05-01;--:--;    112.146;    112.146; 100
1995-06-01;--:--;     69.122;     69.122; 100
1995-07-01;--:--;    290.400;    290.400; 100
1995-08-01;--:--;     34.282;     34.282; 100
1995-09-01;--:--;     63.710;     63.710; 100
1995-10-01;--:--;     38.708;     38.708; 100
1995-11-01;--:--;     36.491;     36.491; 100
1995-12-01;--:--;     35.210;     35.210; 100
1996-01-01;--:--;     36.392;     36.392; 100
1996-02-01;--:--;     34.309;     34.309; 100
1996-03-01;--:--;     50.279;     50.279; 100
1996-04-01;--:--;     52.698;     52.698; 100
1996-05-01;--:--;     46.169;     46.169; 100
1996-06-01;--:--;    280.978;    280.978; 100
1996-07-01;--:--;    128.037;    128.037; 100
1996-08-01;--:--;     58.073;     58.073; 100
1996-09-01;--:--;     39.856;     39.856; 100
1996-10-01;--:--;     35.453;     35.453; 100
1996-11-01;--:--;     37.938;     37.938; 100
1996-12-01;--:--;     31.782;     31.782; 100
1997-01-01;--:--;     30.303;     30.303; 100
1997-02-01;--:--;     36.498;     36.498; 100
1997-03-01;--:--;     62.271;     62.271; 100
1997-04-01;--:--;     97.916;     97.916; 100
1997-05-01;--:--;    143.346;    143.345; 100
1997-06-01;--:--;     58.821;     58.821; 100
1997-07-01;--:--;    411.633;    411.633; 100
1997-08-01;--:--;    115.261;    115.261; 100
1997-09-01;--:--;    140.938;    140.938; 100
1997-10-01;--:--;     43.294;     43.294; 100
1997-11-01;--:--;     56.294;     56.294; 100
1997-12-01;--:--;     57.641;     57.641; 100
1998-01-01;--:--;    102.061;    102.061; 100
1998-02-01;--:--;     58.361;     58.361; 100
1998-03-01;--:--;     73.029;     73.029; 100
1998-04-01;--:--;    108.115;    108.115; 100
1998-05-01;--:--;    123.214;    123.214; 100
1998-06-01;--:--;    243.906;    243.906; 100
1998-07-01;--:--;     91.993;     91.993; 100
1998-08-01;--:--;     33.846;     33.846; 100
1998-09-01;--:--;     31.500;     31.500; 100
1998-10-01;--:--;     56.400;     56.400; 100
1998-11-01;--:--;     37.523;     37.523; 100
1998-12-01;--:--;     35.121;     35.121; 100
1999-01-01;--:--;     35.445;     35.445; 100
1999-02-01;--:--;     34.962;     34.962; 100
1999-03-01;--:--;     33.728;     33.728; 100
1999-04-01;--:--;     36.199;     36.199; 100
1999-05-01;--:--;     51.162;     51.162; 100
1999-06-01;--:--;    326.671;    326.671; 100
1999-07-01;--:--;    105.616;    105.615; 100
1999-08-01;--:--;     73.168;     73.168; 100
1999-09-01;--:--;    188.948;    188.948; 100
1999-10-01;--:--;     49.803;     49.803; 100
1999-11-01;--:--;     46.865;     46.865; 100
1999-12-01;--:--;     42.326;     42.326; 100
2000-01-01;--:--;     40.231;     40.231; 100
2000-02-01;--:--;     40.681;     40.681; 100
2000-03-01;--:--;     46.768;     46.768; 100
2000-04-01;--:--;     44.866;     44.866; 100
2000-05-01;--:--;     47.679;     47.679; 100
2000-06-01;--:--;    186.543;    186.543; 100
2000-07-01;--:--;     65.997;     65.997; 100
2000-08-01;--:--;     37.922;     37.922; 100
2000-09-01;--:--;     34.901;     34.901; 100
2000-10-01;--:--;     34.704;     34.705; 100
2000-11-01;--:--;     64.192;     64.192; 100
2000-12-01;--:--;     37.728;     37.728; 100
2001-01-01;--:--;   -999.000;     44.974; 100
2001-02-01;--:--;   -999.000;     54.300; 100
2001-03-01;--:--;   -999.000;     59.963; 100
2001-04-01;--:--;   -999.000;     46.331; 100
2001-05-01;--:--;   -999.000;     41.342; 100
2001-06-01;--:--;   -999.000;    190.871; 100
2001-07-01;--:--;   -999.000;    199.867; 100
2001-08-01;--:--;   -999.000;     39.669; 100
2001-09-01;--:--;   -999.000;     35.412; 100
2001-10-01;--:--;   -999.000;     36.901; 100
2001-11-01;--:--;   -999.000;     44.369; 100
2001-12-01;--:--;   -999.000;     40.346; 100
2002-01-01;--:--;   -999.000;     40.767; 100
2002-02-01;--:--;   -999.000;     39.306; 100
2002-03-01;--:--;   -999.000;     58.020; 100
2002-04-01;--:--;   -999.000;     56.640; 100
2002-05-01;--:--;   -999.000;    146.922; 100
2002-06-01;--:--;   -999.000;     52.197; 100
2002-07-01;--:--;   -999.000;     86.230; 100
2002-08-01;--:--;   -999.000;     34.674; 100
2002-09-01;--:--;   -999.000;     29.129; 100
2002-10-01;--:--;   -999.000;     30.621; 100
2002-11-01;--:--;   -999.000;     33.431; 100
2002-12-01;--:--;   -999.000;     35.855; 100
2003-01-01;--:--;   -999.000;     34.065; 100
2003-02-01;--:--;   -999.000;     33.034; 100
2003-03-01;--:--;   -999.000;     42.206; 100
2003-04-01;--:--;   -999.000;     87.769; 100
2003-05-01;--:--;   -999.000;     83.430; 100
2003-06-01;--:--;   -999.000;    118.563; 100
2003-07-01;--:--;   -999.000;    285.661; 100
2003-08-01;--:--;   -999.000;    202.124; 100
2003-09-01;--:--;   -999.000;     54.337; 100
2003-10-01;--:--;   -999.000;     37.126; 100
2003-11-01;--:--;   -999.000;     41.638; 100
2003-12-01;--:--;   -999.000;     41.789; 100
