# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590220
# River:                 KIKUCHI GAWA
# Station:               TAMANA
# Country:               JP
# Latitude (DD):       32.94
# Longitude (DD):      130.59
# Catchment area (km²):      906.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993-01 - 2003-12
# No. of years:          12
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4017
# DATA
YYYY-MM-DD;hh:mm; Value
1993-01-01;--:--;     12.540
1993-01-02;--:--;     12.400
1993-01-03;--:--;     12.180
1993-01-04;--:--;     11.700
1993-01-05;--:--;     11.920
1993-01-06;--:--;     11.690
1993-01-07;--:--;     12.320
1993-01-08;--:--;     13.640
1993-01-09;--:--;     12.620
1993-01-10;--:--;     15.380
1993-01-11;--:--;     17.000
1993-01-12;--:--;     14.470
1993-01-13;--:--;     13.450
1993-01-14;--:--;     35.410
1993-01-15;--:--;     22.980
1993-01-16;--:--;     17.900
1993-01-17;--:--;     16.360
1993-01-18;--:--;     15.370
1993-01-19;--:--;     14.720
1993-01-20;--:--;     14.370
1993-01-21;--:--;     13.470
1993-01-22;--:--;     13.380
1993-01-23;--:--;     13.060
1993-01-24;--:--;     12.760
1993-01-25;--:--;     16.930
1993-01-26;--:--;     12.960
1993-01-27;--:--;     12.490
1993-01-28;--:--;     12.520
1993-01-29;--:--;     12.100
1993-01-30;--:--;     12.240
1993-01-31;--:--;     12.210
1993-02-01;--:--;     12.040
1993-02-02;--:--;     11.810
1993-02-03;--:--;     11.380
1993-02-04;--:--;     11.160
1993-02-05;--:--;     10.970
1993-02-06;--:--;     11.050
1993-02-07;--:--;     13.880
1993-02-08;--:--;     12.960
1993-02-09;--:--;     11.330
1993-02-10;--:--;     11.530
1993-02-11;--:--;     10.880
1993-02-12;--:--;     10.770
1993-02-13;--:--;     10.500
1993-02-14;--:--;     10.660
1993-02-15;--:--;     10.660
1993-02-16;--:--;     11.450
1993-02-17;--:--;     22.600
1993-02-18;--:--;     14.600
1993-02-19;--:--;     12.560
1993-02-20;--:--;     11.640
1993-02-21;--:--;     19.950
1993-02-22;--:--;     22.600
1993-02-23;--:--;     15.940
1993-02-24;--:--;     14.240
1993-02-25;--:--;     13.450
1993-02-26;--:--;     12.620
1993-02-27;--:--;     13.330
1993-02-28;--:--;     26.840
1993-03-01;--:--;     17.910
1993-03-02;--:--;     15.420
1993-03-03;--:--;     14.940
1993-03-04;--:--;     14.420
1993-03-05;--:--;     13.470
1993-03-06;--:--;     12.820
1993-03-07;--:--;     20.120
1993-03-08;--:--;     13.520
1993-03-09;--:--;     12.840
1993-03-10;--:--;     11.840
1993-03-11;--:--;     10.990
1993-03-12;--:--;     11.730
1993-03-13;--:--;     11.020
1993-03-14;--:--;     10.850
1993-03-15;--:--;     32.900
1993-03-16;--:--;     39.450
1993-03-17;--:--;     21.030
1993-03-18;--:--;     17.050
1993-03-19;--:--;     15.900
1993-03-20;--:--;     14.520
1993-03-21;--:--;     13.520
1993-03-22;--:--;     12.920
1993-03-23;--:--;     13.020
1993-03-24;--:--;     51.030
1993-03-25;--:--;     52.470
1993-03-26;--:--;     32.330
1993-03-27;--:--;     26.180
1993-03-28;--:--;     29.910
1993-03-29;--:--;     25.380
1993-03-30;--:--;     21.230
1993-03-31;--:--;     20.070
1993-04-01;--:--;     18.450
1993-04-02;--:--;     17.450
1993-04-03;--:--;     15.390
1993-04-04;--:--;     15.830
1993-04-05;--:--;     15.500
1993-04-06;--:--;     14.540
1993-04-07;--:--;     13.560
1993-04-08;--:--;     13.110
1993-04-09;--:--;     12.390
1993-04-10;--:--;     11.950
1993-04-11;--:--;     12.290
1993-04-12;--:--;     11.420
1993-04-13;--:--;     10.200
1993-04-14;--:--;     10.110
1993-04-15;--:--;      9.420
1993-04-16;--:--;      9.190
1993-04-17;--:--;      8.290
1993-04-18;--:--;      8.350
1993-04-19;--:--;      8.630
1993-04-20;--:--;      7.830
1993-04-21;--:--;      7.810
1993-04-22;--:--;     11.030
1993-04-23;--:--;     11.330
1993-04-24;--:--;     15.570
1993-04-25;--:--;     12.920
1993-04-26;--:--;      9.180
1993-04-27;--:--;      8.640
1993-04-28;--:--;    184.800
1993-04-29;--:--;    526.320
1993-04-30;--:--;    113.770
1993-05-01;--:--;     61.870
1993-05-02;--:--;     79.640
1993-05-03;--:--;    109.600
1993-05-04;--:--;     62.000
1993-05-05;--:--;     49.590
1993-05-06;--:--;     42.770
1993-05-07;--:--;     44.380
1993-05-08;--:--;     35.320
1993-05-09;--:--;     31.250
1993-05-10;--:--;     39.600
1993-05-11;--:--;     30.540
1993-05-12;--:--;     23.060
1993-05-13;--:--;     24.780
1993-05-14;--:--;     30.650
1993-05-15;--:--;     26.560
1993-05-16;--:--;     19.780
1993-05-17;--:--;     17.180
1993-05-18;--:--;     17.860
1993-05-19;--:--;     15.920
1993-05-20;--:--;     14.620
1993-05-21;--:--;     13.300
1993-05-22;--:--;     19.390
1993-05-23;--:--;     15.750
1993-05-24;--:--;     13.140
1993-05-25;--:--;     12.700
1993-05-26;--:--;     10.000
1993-05-27;--:--;      9.520
1993-05-28;--:--;      9.200
1993-05-29;--:--;     10.460
1993-05-30;--:--;     21.570
1993-05-31;--:--;     13.110
1993-06-01;--:--;     14.580
1993-06-02;--:--;     18.710
1993-06-03;--:--;     17.820
1993-06-04;--:--;     11.060
1993-06-05;--:--;      9.330
1993-06-06;--:--;      7.540
1993-06-07;--:--;      5.880
1993-06-08;--:--;      6.200
1993-06-09;--:--;     10.980
1993-06-10;--:--;      5.430
1993-06-11;--:--;      4.000
1993-06-12;--:--;      3.250
1993-06-13;--:--;     91.740
1993-06-14;--:--;    148.880
1993-06-15;--:--;    317.520
1993-06-16;--:--;    207.190
1993-06-17;--:--;    132.930
1993-06-18;--:--;   1223.000
1993-06-19;--:--;    999.990
1993-06-20;--:--;    214.290
1993-06-21;--:--;    105.670
1993-06-22;--:--;    156.450
1993-06-23;--:--;    675.000
1993-06-24;--:--;    158.020
1993-06-25;--:--;    142.170
1993-06-26;--:--;    129.010
1993-06-27;--:--;     77.270
1993-06-28;--:--;    143.300
1993-06-29;--:--;    261.670
1993-06-30;--:--;    848.870
1993-07-01;--:--;    260.560
1993-07-02;--:--;    647.590
1993-07-03;--:--;    323.170
1993-07-04;--:--;    712.130
1993-07-05;--:--;    925.860
1993-07-06;--:--;    236.370
1993-07-07;--:--;    245.190
1993-07-08;--:--;    363.040
1993-07-09;--:--;    141.270
1993-07-10;--:--;    100.990
1993-07-11;--:--;     81.190
1993-07-12;--:--;     70.670
1993-07-13;--:--;     62.560
1993-07-14;--:--;     83.760
1993-07-15;--:--;     75.360
1993-07-16;--:--;     60.490
1993-07-17;--:--;    239.300
1993-07-18;--:--;    363.740
1993-07-19;--:--;    108.470
1993-07-20;--:--;     73.090
1993-07-21;--:--;     61.440
1993-07-22;--:--;     53.490
1993-07-23;--:--;     48.320
1993-07-24;--:--;     43.780
1993-07-25;--:--;     54.920
1993-07-26;--:--;     48.640
1993-07-27;--:--;    142.960
1993-07-28;--:--;    123.770
1993-07-29;--:--;     89.770
1993-07-30;--:--;     96.510
1993-07-31;--:--;    176.140
1993-08-01;--:--;    152.330
1993-08-02;--:--;    359.690
1993-08-03;--:--;    224.050
1993-08-04;--:--;    136.920
1993-08-05;--:--;     95.900
1993-08-06;--:--;     81.880
1993-08-07;--:--;     75.940
1993-08-08;--:--;     68.790
1993-08-09;--:--;     59.320
1993-08-10;--:--;    127.820
1993-08-11;--:--;     82.090
1993-08-12;--:--;     60.110
1993-08-13;--:--;     54.480
1993-08-14;--:--;     50.010
1993-08-15;--:--;     52.650
1993-08-16;--:--;     96.470
1993-08-17;--:--;    655.110
1993-08-18;--:--;    226.640
1993-08-19;--:--;    487.480
1993-08-20;--:--;    489.450
1993-08-21;--:--;    176.580
1993-08-22;--:--;    133.840
1993-08-23;--:--;     96.390
1993-08-24;--:--;     71.030
1993-08-25;--:--;     62.410
1993-08-26;--:--;     56.290
1993-08-27;--:--;     56.440
1993-08-28;--:--;     51.670
1993-08-29;--:--;     44.770
1993-08-30;--:--;     42.000
1993-08-31;--:--;     39.380
1993-09-01;--:--;     37.640
1993-09-02;--:--;     42.730
1993-09-03;--:--;    115.470
1993-09-04;--:--;    197.900
1993-09-05;--:--;     70.200
1993-09-06;--:--;     51.820
1993-09-07;--:--;     41.030
1993-09-08;--:--;     39.300
1993-09-09;--:--;     38.930
1993-09-10;--:--;     36.180
1993-09-11;--:--;     33.360
1993-09-12;--:--;     32.420
1993-09-13;--:--;     63.360
1993-09-14;--:--;    183.310
1993-09-15;--:--;     63.600
1993-09-16;--:--;     39.440
1993-09-17;--:--;     39.120
1993-09-18;--:--;     99.740
1993-09-19;--:--;     59.540
1993-09-20;--:--;     48.670
1993-09-21;--:--;     47.780
1993-09-22;--:--;     96.270
1993-09-23;--:--;     73.550
1993-09-24;--:--;     52.780
1993-09-25;--:--;     41.140
1993-09-26;--:--;     36.710
1993-09-27;--:--;     31.440
1993-09-28;--:--;     32.060
1993-09-29;--:--;     33.820
1993-09-30;--:--;     98.970
1993-10-01;--:--;     45.980
1993-10-02;--:--;     38.360
1993-10-03;--:--;     36.280
1993-10-04;--:--;     35.230
1993-10-05;--:--;     32.920
1993-10-06;--:--;     32.730
1993-10-07;--:--;     78.380
1993-10-08;--:--;     62.350
1993-10-09;--:--;     45.930
1993-10-10;--:--;     40.410
1993-10-11;--:--;     37.240
1993-10-12;--:--;     32.240
1993-10-13;--:--;     32.020
1993-10-14;--:--;     33.170
1993-10-15;--:--;     33.210
1993-10-16;--:--;     35.290
1993-10-17;--:--;     35.010
1993-10-18;--:--;     34.740
1993-10-19;--:--;     36.990
1993-10-20;--:--;     36.310
1993-10-21;--:--;     36.100
1993-10-22;--:--;     35.950
1993-10-23;--:--;     35.700
1993-10-24;--:--;     34.560
1993-10-25;--:--;     33.970
1993-10-26;--:--;     33.230
1993-10-27;--:--;     33.290
1993-10-28;--:--;     32.560
1993-10-29;--:--;     36.870
1993-10-30;--:--;     38.660
1993-10-31;--:--;     33.290
1993-11-01;--:--;     32.830
1993-11-02;--:--;     31.920
1993-11-03;--:--;     31.740
1993-11-04;--:--;     31.520
1993-11-05;--:--;     30.760
1993-11-06;--:--;     30.800
1993-11-07;--:--;     30.760
1993-11-08;--:--;     30.760
1993-11-09;--:--;     29.880
1993-11-10;--:--;     29.980
1993-11-11;--:--;     52.260
1993-11-12;--:--;     35.380
1993-11-13;--:--;     33.940
1993-11-14;--:--;     32.220
1993-11-15;--:--;     30.800
1993-11-16;--:--;     29.670
1993-11-17;--:--;     29.840
1993-11-18;--:--;     30.500
1993-11-19;--:--;     28.680
1993-11-20;--:--;     28.420
1993-11-21;--:--;     34.750
1993-11-22;--:--;     34.150
1993-11-23;--:--;     30.760
1993-11-24;--:--;     29.420
1993-11-25;--:--;     28.550
1993-11-26;--:--;     28.470
1993-11-27;--:--;     29.160
1993-11-28;--:--;     27.700
1993-11-29;--:--;     27.280
1993-11-30;--:--;     30.000
1993-12-01;--:--;     53.380
1993-12-02;--:--;     34.090
1993-12-03;--:--;     31.850
1993-12-04;--:--;     30.990
1993-12-05;--:--;     29.020
1993-12-06;--:--;     27.960
1993-12-07;--:--;     27.660
1993-12-08;--:--;     26.950
1993-12-09;--:--;     26.740
1993-12-10;--:--;     36.600
1993-12-11;--:--;     41.110
1993-12-12;--:--;     31.840
1993-12-13;--:--;     30.070
1993-12-14;--:--;     44.120
1993-12-15;--:--;     34.120
1993-12-16;--:--;     32.150
1993-12-17;--:--;     30.060
1993-12-18;--:--;     28.940
1993-12-19;--:--;     28.170
1993-12-20;--:--;     28.510
1993-12-21;--:--;     27.660
1993-12-22;--:--;     27.410
1993-12-23;--:--;     26.700
1993-12-24;--:--;     26.580
1993-12-25;--:--;     26.340
1993-12-26;--:--;     25.600
1993-12-27;--:--;     25.360
1993-12-28;--:--;     24.680
1993-12-29;--:--;     24.680
1993-12-30;--:--;     24.720
1993-12-31;--:--;     29.910
1994-01-01;--:--;     25.980
1994-01-02;--:--;     25.160
1994-01-03;--:--;     25.900
1994-01-04;--:--;     25.200
1994-01-05;--:--;     24.280
1994-01-06;--:--;     24.280
1994-01-07;--:--;     23.760
1994-01-08;--:--;     23.330
1994-01-09;--:--;     23.290
1994-01-10;--:--;     23.060
1994-01-11;--:--;     22.640
1994-01-12;--:--;     22.490
1994-01-13;--:--;     23.460
1994-01-14;--:--;     23.300
1994-01-15;--:--;     22.520
1994-01-16;--:--;     22.180
1994-01-17;--:--;     36.070
1994-01-18;--:--;     35.820
1994-01-19;--:--;     27.530
1994-01-20;--:--;     25.160
1994-01-21;--:--;     24.640
1994-01-22;--:--;     24.240
1994-01-23;--:--;     24.160
1994-01-24;--:--;     23.420
1994-01-25;--:--;     23.220
1994-01-26;--:--;     22.600
1994-01-27;--:--;     22.490
1994-01-28;--:--;     22.450
1994-01-29;--:--;     22.000
1994-01-30;--:--;     21.390
1994-01-31;--:--;     21.500
1994-02-01;--:--;     23.300
1994-02-02;--:--;     22.760
1994-02-03;--:--;     21.100
1994-02-04;--:--;     20.880
1994-02-05;--:--;     20.880
1994-02-06;--:--;     20.620
1994-02-07;--:--;     20.660
1994-02-08;--:--;     21.080
1994-02-09;--:--;     22.920
1994-02-10;--:--;     20.800
1994-02-11;--:--;     20.640
1994-02-12;--:--;     26.160
1994-02-13;--:--;     22.070
1994-02-14;--:--;     20.660
1994-02-15;--:--;     29.390
1994-02-16;--:--;     30.130
1994-02-17;--:--;     23.970
1994-02-18;--:--;     22.680
1994-02-19;--:--;     22.070
1994-02-20;--:--;     24.880
1994-02-21;--:--;     39.100
1994-02-22;--:--;     27.700
1994-02-23;--:--;     24.760
1994-02-24;--:--;     23.300
1994-02-25;--:--;     22.410
1994-02-26;--:--;     21.540
1994-02-27;--:--;     20.800
1994-02-28;--:--;     20.690
1994-03-01;--:--;     20.460
1994-03-02;--:--;     20.190
1994-03-03;--:--;     19.830
1994-03-04;--:--;     19.830
1994-03-05;--:--;     19.800
1994-03-06;--:--;     19.340
1994-03-07;--:--;     19.720
1994-03-08;--:--;     46.580
1994-03-09;--:--;     29.150
1994-03-10;--:--;     24.050
1994-03-11;--:--;     21.730
1994-03-12;--:--;     29.170
1994-03-13;--:--;     27.830
1994-03-14;--:--;     23.500
1994-03-15;--:--;     22.220
1994-03-16;--:--;     20.910
1994-03-17;--:--;     20.620
1994-03-18;--:--;     20.550
1994-03-19;--:--;     20.030
1994-03-20;--:--;     19.430
1994-03-21;--:--;     18.880
1994-03-22;--:--;     19.220
1994-03-23;--:--;     21.100
1994-03-24;--:--;     19.780
1994-03-25;--:--;     18.650
1994-03-26;--:--;     18.570
1994-03-27;--:--;     18.450
1994-03-28;--:--;     17.920
1994-03-29;--:--;     20.010
1994-03-30;--:--;     18.460
1994-03-31;--:--;     17.890
1994-04-01;--:--;     22.620
1994-04-02;--:--;     32.760
1994-04-03;--:--;     21.080
1994-04-04;--:--;     18.740
1994-04-05;--:--;     17.780
1994-04-06;--:--;     20.130
1994-04-07;--:--;     30.080
1994-04-08;--:--;     24.470
1994-04-09;--:--;     20.240
1994-04-10;--:--;     19.090
1994-04-11;--:--;     18.820
1994-04-12;--:--;     95.200
1994-04-13;--:--;     58.670
1994-04-14;--:--;     33.740
1994-04-15;--:--;     27.330
1994-04-16;--:--;     24.040
1994-04-17;--:--;     20.720
1994-04-18;--:--;     23.020
1994-04-19;--:--;     22.650
1994-04-20;--:--;     49.940
1994-04-21;--:--;     73.510
1994-04-22;--:--;     38.310
