# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590220
# River:                 KIKUCHI GAWA
# Station:               TAMANA
# Country:               JP
# Latitude (DD):       32.94
# Longitude (DD):      130.59
# Catchment area (km²):      906.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993 - 2003
# No. of years:          11
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1993-01-01;--:--;     14.598;     14.598; 100
1993-02-01;--:--;     13.693;     13.693; 100
1993-03-01;--:--;     20.348;     20.348; 100
1993-04-01;--:--;     38.176;     38.176; 100
1993-05-01;--:--;     29.842;     29.842; 100
1993-06-01;--:--;    204.925;    204.925; 100
1993-07-01;--:--;    197.243;    197.243; 100
1993-08-01;--:--;    144.127;    144.127; 100
1993-09-01;--:--;     62.609;     62.609; 100
1993-10-01;--:--;     38.031;     38.031; 100
1993-11-01;--:--;     31.430;     31.430; 100
1993-12-01;--:--;     30.451;     30.451; 100
1994-01-01;--:--;     24.436;     24.436; 100
1994-02-01;--:--;     23.498;     23.498; 100
1994-03-01;--:--;     21.738;     21.738; 100
1994-04-01;--:--;     31.938;     31.938; 100
1994-05-01;--:--;     14.913;     14.913; 100
1994-06-01;--:--;     20.843;     20.843; 100
1994-07-01;--:--;      3.556;      3.555; 100
1994-08-01;--:--;      1.558;      1.558; 100
1994-09-01;--:--;      2.100;      2.100; 100
1994-10-01;--:--;     10.011;     10.011; 100
1994-11-01;--:--;      9.923;      9.923; 100
1994-12-01;--:--;     12.548;     12.548; 100
1995-01-01;--:--;     10.702;     10.702; 100
1995-02-01;--:--;      8.829;      8.829; 100
1995-03-01;--:--;      8.350;      8.350; 100
1995-04-01;--:--;     20.425;     20.425; 100
1995-05-01;--:--;     33.064;     33.064; 100
1995-06-01;--:--;     18.332;     18.332; 100
1995-07-01;--:--;    135.332;    135.332; 100
1995-08-01;--:--;     17.356;     17.356; 100
1995-09-01;--:--;     40.131;     40.131; 100
1995-10-01;--:--;     26.169;     26.169; 100
1995-11-01;--:--;     16.498;     16.498; 100
1995-12-01;--:--;     12.348;     12.348; 100
1996-01-01;--:--;     12.432;     12.432; 100
1996-02-01;--:--;     11.752;     11.752; 100
1996-03-01;--:--;     28.923;     28.923; 100
1996-04-01;--:--;     17.376;     17.376; 100
1996-05-01;--:--;      8.376;      8.376; 100
1996-06-01;--:--;    118.614;    118.614; 100
1996-07-01;--:--;     69.702;     69.702; 100
1996-08-01;--:--;     32.314;     32.315; 100
1996-09-01;--:--;     13.105;     13.105; 100
1996-10-01;--:--;     22.984;     22.984; 100
1996-11-01;--:--;     17.090;     17.090; 100
1996-12-01;--:--;     17.494;     17.494; 100
1997-01-01;--:--;     12.713;     12.713; 100
1997-02-01;--:--;     12.190;     12.190; 100
1997-03-01;--:--;     18.171;     18.171; 100
1997-04-01;--:--;     38.409;     38.409; 100
1997-05-01;--:--;     72.904;     72.904; 100
1997-06-01;--:--;     24.927;     24.927; 100
1997-07-01;--:--;    328.890;    328.890; 100
1997-08-01;--:--;     85.757;     85.757; 100
1997-09-01;--:--;     70.988;     70.988; 100
1997-10-01;--:--;     22.135;     22.135; 100
1997-11-01;--:--;     32.258;     32.258; 100
1997-12-01;--:--;     26.161;     26.161; 100
1998-01-01;--:--;     32.790;     32.790; 100
1998-02-01;--:--;     23.999;     23.999; 100
1998-03-01;--:--;     23.695;     23.695; 100
1998-04-01;--:--;     47.914;     47.914; 100
1998-05-01;--:--;     52.111;     52.111; 100
1998-06-01;--:--;    140.570;    140.570; 100
1998-07-01;--:--;     60.414;     60.414; 100
1998-08-01;--:--;     11.623;     11.623; 100
1998-09-01;--:--;      9.880;      9.880; 100
1998-10-01;--:--;     30.083;     30.083; 100
1998-11-01;--:--;     17.417;     17.417; 100
1998-12-01;--:--;     13.816;     13.816; 100
1999-01-01;--:--;     12.201;     12.201; 100
1999-02-01;--:--;     13.006;     13.006; 100
1999-03-01;--:--;     14.843;     14.843; 100
1999-04-01;--:--;     13.892;     13.892; 100
1999-05-01;--:--;     16.757;     16.757; 100
1999-06-01;--:--;    120.790;    120.790;  83
1999-07-01;--:--;     64.675;     64.675;  84
1999-08-01;--:--;     49.348;     49.348; 100
1999-09-01;--:--;    132.968;    132.968; 100
1999-10-01;--:--;     37.076;     37.075; 100
1999-11-01;--:--;     30.462;     30.462; 100
1999-12-01;--:--;     22.809;     22.809; 100
2000-01-01;--:--;     18.898;     18.898; 100
2000-02-01;--:--;     16.539;     16.539; 100
2000-03-01;--:--;     17.540;     17.540; 100
2000-04-01;--:--;     15.029;     15.029; 100
2000-05-01;--:--;     21.357;     21.357;  77
2000-06-01;--:--;     78.921;     78.921; 100
2000-07-01;--:--;     31.542;     31.542; 100
2000-08-01;--:--;     23.436;     23.436; 100
2000-09-01;--:--;     18.900;     18.900; 100
2000-10-01;--:--;     25.930;     25.930; 100
2000-11-01;--:--;     38.895;     38.895; 100
2000-12-01;--:--;     17.504;     17.504; 100
2001-01-01;--:--;   -999.000;     19.556; 100
2001-02-01;--:--;   -999.000;     23.481; 100
2001-03-01;--:--;   -999.000;     21.954; 100
2001-04-01;--:--;   -999.000;     13.301; 100
2001-05-01;--:--;   -999.000;      8.234; 100
2001-06-01;--:--;   -999.000;     69.097; 100
2001-07-01;--:--;   -999.000;    115.644; 100
2001-08-01;--:--;   -999.000;      8.484; 100
2001-09-01;--:--;   -999.000;     15.012; 100
2001-10-01;--:--;   -999.000;     29.070; 100
2001-11-01;--:--;   -999.000;     25.932; 100
2001-12-01;--:--;   -999.000;     19.449; 100
2002-01-01;--:--;   -999.000;     15.893; 100
2002-02-01;--:--;   -999.000;     14.355; 100
2002-03-01;--:--;   -999.000;     23.284; 100
2002-04-01;--:--;   -999.000;     25.970; 100
2002-05-01;--:--;   -999.000;     58.627; 100
2002-06-01;--:--;   -999.000;     13.487; 100
2002-07-01;--:--;   -999.000;     42.627; 100
2002-08-01;--:--;   -999.000;      4.325; 100
2002-09-01;--:--;   -999.000;      7.612; 100
2002-10-01;--:--;   -999.000;     13.194; 100
2002-11-01;--:--;   -999.000;     15.928; 100
2002-12-01;--:--;   -999.000;     16.850; 100
2003-01-01;--:--;   -999.000;     12.700; 100
2003-02-01;--:--;   -999.000;     16.621; 100
2003-03-01;--:--;   -999.000;     21.111; 100
2003-04-01;--:--;   -999.000;     37.696; 100
2003-05-01;--:--;   -999.000;     27.057; 100
2003-06-01;--:--;   -999.000;     51.171; 100
2003-07-01;--:--;   -999.000;    137.726; 100
2003-08-01;--:--;   -999.000;     79.320; 100
2003-09-01;--:--;   -999.000;     20.232; 100
2003-10-01;--:--;   -999.000;     19.260; 100
2003-11-01;--:--;   -999.000;     26.169; 100
2003-12-01;--:--;   -999.000;     18.037; 100
