# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-05-04
#
# GRDC-No.:              2590230
# River:                 SENDAI GAWA
# Station:               ONOBUCHI
# Country:               JP
# Latitude (DD):       31.86
# Longitude (DD):      130.34
# Catchment area (km²):      1348.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Japan - Ministry of Land, Infrastructure and Transport (MLIT)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1993-01 - 2003-12
# No. of years:          12
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4017
# DATA
YYYY-MM-DD;hh:mm; Value
1993-01-01;--:--;     25.270
1993-01-02;--:--;     25.090
1993-01-03;--:--;     24.600
1993-01-04;--:--;     29.670
1993-01-05;--:--;     34.320
1993-01-06;--:--;     28.960
1993-01-07;--:--;     25.220
1993-01-08;--:--;     26.290
1993-01-09;--:--;     30.040
1993-01-10;--:--;     26.590
1993-01-11;--:--;     26.520
1993-01-12;--:--;     24.540
1993-01-13;--:--;     24.850
1993-01-14;--:--;     75.510
1993-01-15;--:--;     42.490
1993-01-16;--:--;     35.960
1993-01-17;--:--;     33.540
1993-01-18;--:--;     31.130
1993-01-19;--:--;     30.240
1993-01-20;--:--;     27.670
1993-01-21;--:--;     26.980
1993-01-22;--:--;     25.550
1993-01-23;--:--;     26.850
1993-01-24;--:--;     26.310
1993-01-25;--:--;     26.200
1993-01-26;--:--;     24.670
1993-01-27;--:--;     25.930
1993-01-28;--:--;     37.750
1993-01-29;--:--;     26.400
1993-01-30;--:--;     25.460
1993-01-31;--:--;     24.940
1993-02-01;--:--;     24.370
1993-02-02;--:--;     24.400
1993-02-03;--:--;     24.350
1993-02-04;--:--;     23.650
1993-02-05;--:--;     23.720
1993-02-06;--:--;     24.070
1993-02-07;--:--;     25.860
1993-02-08;--:--;     26.970
1993-02-09;--:--;     25.860
1993-02-10;--:--;     25.160
1993-02-11;--:--;     25.500
1993-02-12;--:--;     24.810
1993-02-13;--:--;     25.040
1993-02-14;--:--;     24.710
1993-02-15;--:--;     23.600
1993-02-16;--:--;     24.380
1993-02-17;--:--;     40.210
1993-02-18;--:--;     29.150
1993-02-19;--:--;     27.400
1993-02-20;--:--;     25.830
1993-02-21;--:--;     47.350
1993-02-22;--:--;     48.080
1993-02-23;--:--;     37.660
1993-02-24;--:--;     35.730
1993-02-25;--:--;     30.400
1993-02-26;--:--;     27.470
1993-02-27;--:--;     28.390
1993-02-28;--:--;     42.310
1993-03-01;--:--;     34.530
1993-03-02;--:--;     31.950
1993-03-03;--:--;     28.100
1993-03-04;--:--;     29.410
1993-03-05;--:--;     30.090
1993-03-06;--:--;     30.210
1993-03-07;--:--;     39.570
1993-03-08;--:--;     38.300
1993-03-09;--:--;     29.790
1993-03-10;--:--;     29.690
1993-03-11;--:--;     28.910
1993-03-12;--:--;     28.240
1993-03-13;--:--;     28.360
1993-03-14;--:--;     28.200
1993-03-15;--:--;     51.440
1993-03-16;--:--;     47.350
1993-03-17;--:--;     38.400
1993-03-18;--:--;     35.290
1993-03-19;--:--;     31.290
1993-03-20;--:--;     33.090
1993-03-21;--:--;     30.350
1993-03-22;--:--;     31.190
1993-03-23;--:--;     33.740
1993-03-24;--:--;    117.300
1993-03-25;--:--;     79.250
1993-03-26;--:--;     78.980
1993-03-27;--:--;     69.540
1993-03-28;--:--;     57.910
1993-03-29;--:--;     51.930
1993-03-30;--:--;     43.840
1993-03-31;--:--;     43.310
1993-04-01;--:--;     39.820
1993-04-02;--:--;     37.790
1993-04-03;--:--;     40.640
1993-04-04;--:--;     37.740
1993-04-05;--:--;     44.060
